group_1344	PAGRI_00913	PBONN_01024	PHAYL_01055	PCALE_02543	PFUNG_02465	PMEGA_05499	PPHEM_04003	PPHEX_02753	PPHYM_00796	PPHYT_02970	PSART_01157	PSPRE_00280	PTERA_02676	PTERE_00825	PXENO_03188
group_46	PAGRI_00334	PBONN_02310	PHAYL_02405	PCALE_00299	PFUNG_01147	PMEGA_02992	PPHEM_04706	PPHEX_02964	PPHYM_00294	PPHYT_00549	PSART_00621	PSPRE_02286	PTERA_00323	PTERE_00285	PXENO_01839
act	PAGRI_03034	PBONN_03333	PHAYL_03421	PCALE_02269	PFUNG_00418	PMEGA_03892	PPHEM_03480	PPHEX_01118	PPHYM_02052	PPHYT_01351	PSART_01880	PSPRE_01586	PTERA_01057	PTERE_02104	PXENO_00904
uvrA_2	PAGRI_02908	PBONN_01083	PHAYL_01121	PCALE_02075	PFUNG_00296	PMEGA_05245	PPHEM_06157	PPHEX_01271	PPHYM_01591	PPHYT_01436	PSART_01513	PSPRE_01506	PTERA_02384	PTERE_01034	PXENO_00681
argC_1	PAGRI_04036	PBONN_00437	PHAYL_00446	PCALE_03249	PFUNG_01728	PMEGA_06385	PPHEM_06942	PPHEX_03464	PPHYM_02952	PPHYT_03713	PSART_04366	PSPRE_02814	PTERA_03383	PTERE_02976	PXENO_02445
iscS	PAGRI_01448	PBONN_01195	PHAYL_02175	PCALE_01137	PFUNG_02861	PMEGA_05008	PPHEM_04517	PPHEX_02436	PPHYM_01498	PPHYT_02580	PSART_01657	PSPRE_00601	PTERA_01240	PTERE_01131	PXENO_03719
lutC	PAGRI_00947	PBONN_02159	PHAYL_01155	PCALE_02517	PFUNG_02500	PMEGA_05462	PPHEM_03972	PPHEX_02726	PPHYM_00825	PPHYT_02936	PSART_01192	PSPRE_00313	PTERA_02651	PTERE_00859	PXENO_03222
ahcY	PAGRI_04091	PBONN_00396	PHAYL_00390	PCALE_03291	PFUNG_01671	PMEGA_06439	PPHEM_00714	PPHEX_03507	PPHYM_02996	PPHYT_03787	PSART_04313	PSPRE_02768	PTERA_03434	PTERE_03026	PXENO_02357
ilvH	PAGRI_03064	PBONN_03361	PHAYL_03449	PCALE_02299	PFUNG_00448	PMEGA_03861	PPHEM_03510	PPHEX_01088	PPHYM_02080	PPHYT_01321	PSART_01909	PSPRE_01616	PTERA_01027	PTERE_02133	PXENO_00935
pyrG	PAGRI_01466	PBONN_01213	PHAYL_02156	PCALE_01155	PFUNG_02879	PMEGA_04989	PPHEM_04499	PPHEX_02419	PPHYM_01480	PPHYT_02563	PSART_01675	PSPRE_00619	PTERA_01258	PTERE_01148	PXENO_03737
wbiI	PAGRI_03406	PBONN_02237	PHAYL_01226	PCALE_00690	PFUNG_00819	PMEGA_03572	PPHEM_07535	PPHEX_00682	PPHYM_02346	PPHYT_00890	PSART_02268	PSPRE_01969	PTERA_00659	PTERE_02410	PXENO_01460
gltJ	PAGRI_00439	PBONN_02525	PHAYL_02733	PCALE_02929	PFUNG_02056	PMEGA_03119	PPHEM_05846	PPHEX_03138	PPHYM_02632	PPHYT_03378	PSART_02652	PSPRE_03155	PTERA_03064	PTERE_02653	PXENO_02774
queF	PAGRI_03756	PBONN_00635	PHAYL_00652	PCALE_00371	PFUNG_01073	PMEGA_06076	PPHEM_04787	PPHEX_00335	PPHYM_00372	PPHYT_00633	PSART_00695	PSPRE_02214	PTERA_00411	PTERE_00365	PXENO_01739
gnd_1	PAGRI_05356	PBONN_03157	PHAYL_03229	PCALE_06095	PFUNG_06514	PMEGA_00453	PPHEM_00991	PPHEX_05386	PPHYM_04798	PPHYT_06003	PSART_03559	PSPRE_03791	PTERA_05390	PTERE_04055	PXENO_04543
clpX	PAGRI_02230	PBONN_01551	PHAYL_01822	PCALE_01552	PFUNG_03478	PMEGA_04440	PPHEM_05599	PPHEX_01728	PPHYM_01036	PPHYT_01908	PSART_02796	PSPRE_01138	PTERA_01607	PTERE_01643	PXENO_04448
group_1393	PAGRI_01471	PBONN_01218	PHAYL_02151	PCALE_01160	PFUNG_02884	PMEGA_04984	PPHEM_04494	PPHEX_02414	PPHYM_01475	PPHYT_02558	PSART_01680	PSPRE_00624	PTERA_01263	PTERE_01153	PXENO_03742
moaD	PAGRI_02312	PBONN_01488	PHAYL_01900	PCALE_01471	PFUNG_03375	PMEGA_04365	PPHEM_05687	PPHEX_01806	PPHYM_00956	PPHYT_01809	PSART_02870	PSPRE_01211	PTERA_01529	PTERE_01728	PXENO_00082
group_1175	PAGRI_06109	PBONN_03198	PHAYL_03275	PCALE_04068	PFUNG_04051	PMEGA_00207	PPHEM_02639	PPHEX_05956	PPHYM_03534	PPHYT_05076	PSART_04528	PSPRE_05515	PTERA_06332	PTERE_05006	PXENO_06931
ytfF	PAGRI_01666	PBONN_01740	PHAYL_01574	PCALE_01292	PFUNG_03184	PMEGA_04856	PPHEM_07353	PPHEX_02277	PPHYM_01348	PPHYT_02428	PSART_01808	PSPRE_00755	PTERA_02081	PTERE_01283	PXENO_03874
group_2423	PAGRI_01450	PBONN_01197	PHAYL_02173	PCALE_01139	PFUNG_02863	PMEGA_05006	PPHEM_04515	PPHEX_02434	PPHYM_01496	PPHYT_02578	PSART_01659	PSPRE_00603	PTERA_01242	PTERE_01133	PXENO_03721
group_76	PAGRI_00349	PBONN_02668	PHAYL_02848	PCALE_00308	PFUNG_01133	PMEGA_03001	PPHEM_04720	PPHEX_00276	PPHYM_00309	PPHYT_00565	PSART_00632	PSPRE_02275	PTERA_00336	PTERE_00300	PXENO_01825
group_174	PAGRI_00216	PBONN_00008	PHAYL_00031	PCALE_00179	PFUNG_01264	PMEGA_02875	PPHEM_00287	PPHEX_00152	PPHYM_00156	PPHYT_00419	PSART_00515	PSPRE_02393	PTERA_00204	PTERE_00169	PXENO_01963
sucC	PAGRI_00517	PBONN_02416	PHAYL_02603	PCALE_02864	PFUNG_02133	PMEGA_05965	PPHEM_04906	PPHEX_03072	PPHYM_00451	PPHYT_03308	PSART_00786	PSPRE_03228	PTERA_02993	PTERE_00443	PXENO_02848
murA	PAGRI_03911	PBONN_00544	PHAYL_00555	PCALE_03125	PFUNG_01853	PMEGA_06242	PPHEM_06842	PPHEX_03336	PPHYM_02830	PPHYT_03586	PSART_03909	PSPRE_02936	PTERA_03261	PTERE_02850	PXENO_02573
group_1787	PAGRI_00097	PBONN_00030	PHAYL_00065	PCALE_00075	PFUNG_01382	PMEGA_02696	PPHEM_00454	PPHEX_00055	PPHYM_00047	PPHYT_00307	PSART_04041	PSPRE_02522	PTERA_00064	PTERE_00041	PXENO_02085
anmK	PAGRI_00454	PBONN_02509	PHAYL_02718	PCALE_02919	PFUNG_02070	PMEGA_03129	PPHEM_05836	PPHEX_03128	PPHYM_02621	PPHYT_03368	PSART_02642	PSPRE_03165	PTERA_03052	PTERE_02642	PXENO_02784
gspE	PAGRI_04260	PBONN_00210	PHAYL_00226	PCALE_03435	PFUNG_01510	PMEGA_06639	PPHEM_00549	PPHEX_03680	PPHYM_03151	PPHYT_03965	PSART_04127	PSPRE_02613	PTERA_03625	PTERE_03185	PXENO_02180
group_1923	PAGRI_01477	PBONN_01224	PHAYL_02144	PCALE_01166	PFUNG_02890	PMEGA_04978	PPHEM_04488	PPHEX_02408	PPHYM_01469	PPHYT_02552	PSART_01686	PSPRE_00631	PTERA_01269	PTERE_01159	PXENO_03748
serS	PAGRI_03272	PBONN_00912	PHAYL_02516	PCALE_00844	PFUNG_00689	PMEGA_05665	PPHEM_04141	PPHEX_00865	PPHYM_00651	PPHYT_01033	PSART_01016	PSPRE_01824	PTERA_00781	PTERE_00669	PXENO_01138
group_1012	PAGRI_03724	PBONN_00659	PHAYL_00678	PCALE_00400	PFUNG_01041	PMEGA_06052	PPHEM_04819	PPHEX_00367	PPHYM_00398	PPHYT_00661	PSART_00723	PSPRE_02188	PTERA_00438	PTERE_00390	PXENO_01710
group_1048	PAGRI_03879	PBONN_00140	PHAYL_00165	PCALE_03093	PFUNG_01885	PMEGA_06197	PPHEM_06874	PPHEX_03304	PPHYM_02797	PPHYT_03554	PSART_03943	PSPRE_02967	PTERA_03229	PTERE_02817	PXENO_02605
group_715	PAGRI_01018	PBONN_02037	PHAYL_02320	PCALE_02444	PFUNG_02571	PMEGA_05348	PPHEM_03884	PPHEX_02658	PPHYM_00896	PPHYT_02865	PSART_01265	PSPRE_00382	PTERA_02579	PTERE_00929	PXENO_03424
group_649	PAGRI_00631	PBONN_02313	PHAYL_02407	PCALE_02762	PFUNG_02245	PMEGA_05854	PPHEM_05009	PPHEX_02971	PPHYM_00554	PPHYT_03204	PSART_00878	PSPRE_03333	PTERA_02892	PTERE_00565	PXENO_02951
group_666	PAGRI_00792	PBONN_00926	PHAYL_00950	PCALE_02670	PFUNG_02342	PMEGA_05622	PPHEM_04103	PPHEX_02878	PPHYM_00676	PPHYT_03100	PSART_01034	PSPRE_00168	PTERA_02800	PTERE_00698	PXENO_03069
group_1371	PAGRI_01116	PBONN_01359	PHAYL_02008	PCALE_02356	PFUNG_02659	PMEGA_05301	PPHEM_03789	PPHEX_02566	PPHYM_01608	PPHYT_02763	PSART_01351	PSPRE_00481	PTERA_02469	PTERE_01017	PXENO_03531
flgJ	PAGRI_04120	PBONN_00331	PHAYL_00364	PCALE_03319	PFUNG_01643	PMEGA_06477	PPHEM_00686	PPHEX_03534	PPHYM_03035	PPHYT_03815	PSART_04279	PSPRE_02744	PTERA_03465	PTERE_03056	PXENO_02328
rplX	PAGRI_03980	PBONN_00484	PHAYL_00498	PCALE_03193	PFUNG_01784	PMEGA_06308	PPHEM_07009	PPHEX_03407	PPHYM_02897	PPHYT_03657	PSART_03853	PSPRE_02870	PTERA_03327	PTERE_02921	PXENO_02502
group_547	PAGRI_00247	PBONN_02811	PHAYL_02950	PCALE_00215	PFUNG_01236	PMEGA_02902	PPHEM_00260	PPHEX_00183	PPHYM_00188	PPHYT_00460	PSART_00545	PSPRE_02363	PTERA_00235	PTERE_00200	PXENO_01931
oxyR	PAGRI_03647	PBONN_02471	PHAYL_02671	PCALE_00439	PFUNG_00995	PMEGA_03167	PPHEM_05799	PPHEX_00405	PPHYM_02583	PPHYT_00701	PSART_02600	PSPRE_02146	PTERA_00479	PTERE_02604	PXENO_01670
gatB	PAGRI_00107	PBONN_00038	PHAYL_00073	PCALE_00085	PFUNG_01371	PMEGA_02706	PPHEM_00444	PPHEX_00065	PPHYM_00058	PPHYT_00317	PSART_04031	PSPRE_02512	PTERA_00074	PTERE_00052	PXENO_02075
group_729	PAGRI_01094	PBONN_01338	PHAYL_02026	PCALE_02376	PFUNG_02637	PMEGA_05323	PPHEM_03810	PPHEX_02587	PPHYM_01629	PPHYT_02785	PSART_01331	PSPRE_00461	PTERA_02360	PTERE_00996	PXENO_03508
group_1226	PAGRI_01449	PBONN_01196	PHAYL_02174	PCALE_01138	PFUNG_02862	PMEGA_05007	PPHEM_04516	PPHEX_02435	PPHYM_01497	PPHYT_02579	PSART_01658	PSPRE_00602	PTERA_01241	PTERE_01132	PXENO_03720
map	PAGRI_01642	PBONN_01764	PHAYL_01550	PCALE_01268	PFUNG_03160	PMEGA_04880	PPHEM_07329	PPHEX_02301	PPHYM_01372	PPHYT_02452	PSART_01784	PSPRE_00731	PTERA_02105	PTERE_01258	PXENO_03850
group_415	PAGRI_03846	PBONN_00577	PHAYL_00590	PCALE_03059	PFUNG_01923	PMEGA_06161	PPHEM_06911	PPHEX_03271	PPHYM_02764	PPHYT_03519	PSART_03978	PSPRE_03026	PTERA_03196	PTERE_02784	PXENO_02639
murE	PAGRI_03821	PBONN_00596	PHAYL_00612	PCALE_03034	PFUNG_01948	PMEGA_06135	PPHEM_05955	PPHEX_03246	PPHYM_02739	PPHYT_03494	PSART_00147	PSPRE_03050	PTERA_03171	PTERE_02759	PXENO_02664
rplN	PAGRI_03981	PBONN_00483	PHAYL_00497	PCALE_03194	PFUNG_01783	PMEGA_06309	PPHEM_07008	PPHEX_03408	PPHYM_02898	PPHYT_03658	PSART_03852	PSPRE_02869	PTERA_03328	PTERE_02922	PXENO_02501
proB	PAGRI_03791	PBONN_02585	PHAYL_02797	PCALE_03002	PFUNG_01979	PMEGA_06105	PPHEM_05925	PPHEX_03217	PPHYM_02710	PPHYT_03465	PSART_00177	PSPRE_03080	PTERA_03141	PTERE_02729	PXENO_02693
group_211	PAGRI_00545	PBONN_02390	PHAYL_02474	PCALE_02835	PFUNG_02161	PMEGA_05936	PPHEM_04933	PPHEX_03043	PPHYM_00480	PPHYT_03280	PSART_00814	PSPRE_03259	PTERA_02965	PTERE_00471	PXENO_02876
rpmD	PAGRI_03973	PBONN_00491	PHAYL_00505	PCALE_03186	PFUNG_01791	PMEGA_06301	PPHEM_07016	PPHEX_03400	PPHYM_02890	PPHYT_03650	PSART_03860	PSPRE_02877	PTERA_03320	PTERE_02914	PXENO_02509
pasI	PAGRI_01665	PBONN_01741	PHAYL_01573	PCALE_01291	PFUNG_03183	PMEGA_04857	PPHEM_07352	PPHEX_02278	PPHYM_01349	PPHYT_02429	PSART_01807	PSPRE_00754	PTERA_02082	PTERE_01282	PXENO_03873
group_2569	PAGRI_04155	PBONN_00306	PHAYL_00328	PCALE_03354	PFUNG_01608	PMEGA_06516	PPHEM_00653	PPHEX_03569	PPHYM_03060	PPHYT_03851	PSART_04244	PSPRE_02707	PTERA_03500	PTERE_03089	PXENO_02293
group_2498	PAGRI_03062	PBONN_03359	PHAYL_03447	PCALE_02297	PFUNG_00446	PMEGA_03863	PPHEM_03508	PPHEX_01090	PPHYM_02078	PPHYT_01323	PSART_01907	PSPRE_01614	PTERA_01029	PTERE_02131	PXENO_00933
rsfS	PAGRI_03098	PBONN_03388	PHAYL_03480	PCALE_02333	PFUNG_00482	PMEGA_03809	PPHEM_03544	PPHEX_01055	PPHYM_02127	PPHYT_01289	PSART_01947	PSPRE_01649	PTERA_00993	PTERE_02168	PXENO_00968
fliF	PAGRI_04103	PBONN_00383	PHAYL_00380	PCALE_03303	PFUNG_01659	PMEGA_06460	PPHEM_00702	PPHEX_03518	PPHYM_03010	PPHYT_03799	PSART_04303	PSPRE_02760	PTERA_03446	PTERE_03040	PXENO_02345
group_1011	PAGRI_03720	PBONN_00663	PHAYL_00683	PCALE_00404	PFUNG_01037	PMEGA_06048	PPHEM_04825	PPHEX_00371	PPHYM_00402	PPHYT_00665	PSART_00727	PSPRE_02184	PTERA_00442	PTERE_00395	PXENO_01706
group_429	PAGRI_03957	PBONN_00503	PHAYL_00519	PCALE_03170	PFUNG_01806	PMEGA_06286	PPHEM_07031	PPHEX_03384	PPHYM_02874	PPHYT_03633	PSART_03876	PSPRE_02893	PTERA_03305	PTERE_02898	PXENO_02525
nuoN	PAGRI_03036	PBONN_03335	PHAYL_03423	PCALE_02271	PFUNG_00420	PMEGA_03890	PPHEM_03482	PPHEX_01116	PPHYM_02054	PPHYT_01349	PSART_01882	PSPRE_01588	PTERA_01055	PTERE_02106	PXENO_00906
group_928	PAGRI_03208	PBONN_01980	PHAYL_01302	PCALE_00913	PFUNG_00631	PMEGA_03729	PPHEM_02807	PPHEX_00947	PPHYM_02204	PPHYT_01131	PSART_02022	PSPRE_01761	PTERA_00844	PTERE_02238	PXENO_01075
rpmI	PAGRI_01125	PBONN_01368	PHAYL_01994	PCALE_02347	PFUNG_02668	PMEGA_05292	PPHEM_03780	PPHEX_02557	PPHYM_01599	PPHYT_02754	PSART_01360	PSPRE_00490	PTERA_02460	PTERE_01026	PXENO_03540
group_139	PAGRI_03405	PBONN_02236	PHAYL_01234	PCALE_00691	PFUNG_00816	PMEGA_03573	PPHEM_03038	PPHEX_00694	PPHYM_02345	PPHYT_00891	PSART_02266	PSPRE_01961	PTERA_00660	PTERE_02405	PXENO_01424
glcF_2	PAGRI_01442	PBONN_01171	PHAYL_02202	PCALE_01130	PFUNG_02854	PMEGA_05015	PPHEM_04522	PPHEX_02442	PPHYM_01504	PPHYT_02586	PSART_01651	PSPRE_00595	PTERA_01234	PTERE_01125	PXENO_03713
hutH_1	PAGRI_02809	PBONN_01409	PHAYL_01479	PCALE_02041	PFUNG_00197	PMEGA_03993	PPHEM_06269	PPHEX_01294	PPHYM_01856	PPHYT_01525	PSART_03149	PSPRE_01482	PTERA_02491	PTERE_01985	PXENO_00631
rhaS_5	PAGRI_06105	PBONN_03296	PHAYL_03375	PCALE_04072	PFUNG_04047	PMEGA_02040	PPHEM_03349	PPHEX_05960	PPHYM_03415	PPHYT_05082	PSART_04525	PSPRE_05512	PTERA_01360	PTERE_04236	PXENO_06918
dapB	PAGRI_00420	PBONN_02544	PHAYL_02756	PCALE_02948	PFUNG_02037	PMEGA_03102	PPHEM_05866	PPHEX_03158	PPHYM_02651	PPHYT_03400	PSART_02669	PSPRE_03138	PTERA_03081	PTERE_02671	PXENO_02752
fusA_2	PAGRI_00647	PBONN_00470	PHAYL_00484	PCALE_02747	PFUNG_01770	PMEGA_05838	PPHEM_05024	PPHEX_02955	PPHYM_00569	PPHYT_03186	PSART_00024	PSPRE_00016	PTERA_02877	PTERE_00581	PXENO_02488
pcaI	PAGRI_05196	PBONN_02937	PHAYL_03078	PCALE_05113	PFUNG_06358	PMEGA_01540	PPHEM_01714	PPHEX_04441	PPHYM_04544	PPHYT_04336	PSART_05199	PSPRE_04776	PTERA_04321	PTERE_03527	PXENO_05987
group_192	PAGRI_00326	PBONN_02686	PHAYL_02867	PCALE_00292	PFUNG_01155	PMEGA_02985	PPHEM_04698	PPHEX_00260	PPHYM_00286	PPHYT_00541	PSART_00613	PSPRE_02293	PTERA_00314	PTERE_00276	PXENO_01847
group_220	PAGRI_00628	PBONN_02314	PHAYL_02408	PCALE_02765	PFUNG_02242	PMEGA_00787	PPHEM_05005	PPHEX_02974	PPHYM_00549	PPHYT_03207	PSART_04359	PSPRE_03330	PTERA_02895	PTERE_00560	PXENO_02948
group_206	PAGRI_00511	PBONN_02423	PHAYL_02608	PCALE_02870	PFUNG_02127	PMEGA_05971	PPHEM_04900	PPHEX_03078	PPHYM_00445	PPHYT_03314	PSART_00780	PSPRE_03222	PTERA_02999	PTERE_00437	PXENO_02842
group_1730	PAGRI_06422	PBONN_03196	PHAYL_03273	PCALE_03816	PFUNG_04369	PMEGA_01866	PPHEM_02364	PPHEX_05638	PPHYM_05133	PPHYT_04798	PSART_04411	PSPRE_03572	PTERA_05647	PTERE_04127	PXENO_07315
group_1530	PAGRI_03358	PBONN_02224	PHAYL_01245	PCALE_00766	PFUNG_00773	PMEGA_03621	PPHEM_02962	PPHEX_00787	PPHYM_02307	PPHYT_00948	PSART_02119	PSPRE_01901	PTERA_00696	PTERE_02344	PXENO_01374
secB	PAGRI_00312	PBONN_02698	PHAYL_02881	PCALE_00278	PFUNG_01169	PMEGA_02970	PPHEM_04683	PPHEX_00245	PPHYM_00272	PPHYT_00527	PSART_00599	PSPRE_02308	PTERA_00300	PTERE_00261	PXENO_01862
mtnN	PAGRI_01089	PBONN_01397	PHAYL_01467	PCALE_02380	PFUNG_02633	PMEGA_05327	PPHEM_03815	PPHEX_02591	PPHYM_01633	PPHYT_02794	PSART_01326	PSPRE_00443	PTERA_02505	PTERE_00992	PXENO_03504
lysDH	PAGRI_01850	PBONN_01623	PHAYL_01720	PCALE_01805	PFUNG_03306	PMEGA_04743	PPHEM_06485	PPHEX_01529	PPHYM_01277	PPHYT_02268	PSART_00376	PSPRE_00823	PTERA_01915	PTERE_01361	PXENO_04155
cc4	PAGRI_03167	PBONN_03438	PHAYL_03519	PCALE_00955	PFUNG_00529	PMEGA_03774	PPHEM_03620	PPHEX_01016	PPHYM_02158	PPHYT_01225	PSART_01983	PSPRE_01714	PTERA_00941	PTERE_02201	PXENO_01015
group_28	PAGRI_03657	PBONN_02481	PHAYL_02682	PCALE_00429	PFUNG_01005	PMEGA_03157	PPHEM_01666	PPHEX_00395	PPHYM_02593	PPHYT_00696	PSART_02610	PSPRE_02156	PTERA_00469	PTERE_02614	PXENO_01680
hisG	PAGRI_03910	PBONN_00545	PHAYL_00556	PCALE_03124	PFUNG_01854	PMEGA_06241	PPHEM_06843	PPHEX_03335	PPHYM_02829	PPHYT_03585	PSART_03910	PSPRE_02937	PTERA_03260	PTERE_02849	PXENO_02574
group_590	PAGRI_00422	PBONN_02542	PHAYL_02754	PCALE_02946	PFUNG_02039	PMEGA_03104	PPHEM_05864	PPHEX_03156	PPHYM_02649	PPHYT_03398	PSART_02667	PSPRE_03140	PTERA_03079	PTERE_02669	PXENO_02754
group_681	PAGRI_00872	PBONN_00983	PHAYL_01013	PCALE_02586	PFUNG_02423	PMEGA_05539	PPHEM_04044	PPHEX_02795	PPHYM_00756	PPHYT_03011	PSART_01115	PSPRE_00239	PTERA_02717	PTERE_00783	PXENO_03146
dctD	PAGRI_00295	PBONN_02715	PHAYL_02901	PCALE_00261	PFUNG_01187	PMEGA_02953	PPHEM_00208	PPHEX_00228	PPHYM_00231	PPHYT_00510	PSART_00582	PSPRE_02325	PTERA_00283	PTERE_00244	PXENO_01879
atpB	PAGRI_04223	PBONN_00251	PHAYL_00263	PCALE_03398	PFUNG_01547	PMEGA_06601	PPHEM_00588	PPHEX_03645	PPHYM_03113	PPHYT_03927	PSART_04165	PSPRE_02649	PTERA_03589	PTERE_03145	PXENO_02218
group_675	PAGRI_00844	PBONN_00957	PHAYL_00980	PCALE_02621	PFUNG_02394	PMEGA_05565	PPHEM_04071	PPHEX_02828	PPHYM_00728	PPHYT_03046	PSART_01085	PSPRE_00217	PTERA_02747	PTERE_00755	PXENO_03120
phoB	PAGRI_01028	PBONN_02024	PHAYL_02310	PCALE_02434	PFUNG_02581	PMEGA_05337	PPHEM_03874	PPHEX_02647	PPHYM_00906	PPHYT_02854	PSART_01275	PSPRE_00392	PTERA_02569	PTERE_00939	PXENO_03435
group_701	PAGRI_00959	PBONN_02147	PHAYL_01168	PCALE_02505	PFUNG_02512	PMEGA_05450	PPHEM_03960	PPHEX_02715	PPHYM_00837	PPHYT_02924	PSART_01204	PSPRE_00324	PTERA_02639	PTERE_00872	PXENO_03234
group_836	PAGRI_02302	PBONN_01497	PHAYL_01891	PCALE_01481	PFUNG_03385	PMEGA_04373	PPHEM_05676	PPHEX_01796	PPHYM_00968	PPHYT_01819	PSART_02863	PSPRE_01203	PTERA_01538	PTERE_01716	PXENO_00072
ubiH	PAGRI_00465	PBONN_02498	PHAYL_02704	PCALE_02908	PFUNG_02082	PMEGA_03140	PPHEM_05826	PPHEX_03116	PPHYM_02610	PPHYT_03355	PSART_02631	PSPRE_03177	PTERA_03041	PTERE_02631	PXENO_02796
group_1049	PAGRI_03880	PBONN_00142	PHAYL_00173	PCALE_03094	PFUNG_01884	PMEGA_06198	PPHEM_06873	PPHEX_03305	PPHYM_02798	PPHYT_03555	PSART_03942	PSPRE_02966	PTERA_03230	PTERE_02818	PXENO_02604
group_1162	PAGRI_05500	PBONN_03111	PHAYL_03191	PCALE_03569	PFUNG_06644	PMEGA_00313	PPHEM_05135	PPHEX_04267	PPHYM_04748	PPHYT_04577	PSART_03499	PSPRE_04922	PTERA_04065	PTERE_05171	PXENO_06203
parC	PAGRI_03191	PBONN_03465	PHAYL_03545	PCALE_00929	PFUNG_00553	PMEGA_03744	PPHEM_03648	PPHEX_00990	PPHYM_02183	PPHYT_01198	PSART_02009	PSPRE_01745	PTERA_00919	PTERE_02225	PXENO_01040
serB1	PAGRI_03612	PBONN_02434	PHAYL_02637	PCALE_00473	PFUNG_00958	PMEGA_03200	PPHEM_05765	PPHEX_00441	PPHYM_02550	PPHYT_00736	PSART_02556	PSPRE_02113	PTERA_00516	PTERE_02569	PXENO_01634
lolB	PAGRI_00361	PBONN_02657	PHAYL_02837	PCALE_00320	PFUNG_01121	PMEGA_03027	PPHEM_04732	PPHEX_00288	PPHYM_00321	PPHYT_00577	PSART_00644	PSPRE_02257	PTERA_00348	PTERE_00312	PXENO_01813
adhC	PAGRI_06235	PBONN_02616	PHAYL_02809	PCALE_03976	PFUNG_04175	PMEGA_02070	PPHEM_03321	PPHEX_05816	PPHYM_03405	PPHYT_04958	PSART_00220	PSPRE_03449	PTERA_03682	PTERE_04249	PXENO_07074
pepA	PAGRI_03336	PBONN_02209	PHAYL_01259	PCALE_00788	PFUNG_00749	PMEGA_03642	PPHEM_02938	PPHEX_00807	PPHYM_02285	PPHYT_00973	PSART_02099	PSPRE_01880	PTERA_00721	PTERE_02322	PXENO_01335
iscR	PAGRI_01447	PBONN_01194	PHAYL_02176	PCALE_01136	PFUNG_02860	PMEGA_05009	PPHEM_04518	PPHEX_02437	PPHYM_01499	PPHYT_02581	PSART_01656	PSPRE_00600	PTERA_01239	PTERE_01130	PXENO_03718
group_327	PAGRI_02758	PBONN_01721	PHAYL_01496	PCALE_02001	PFUNG_00149	PMEGA_04074	PPHEM_07655	PPHEX_01330	PPHYM_01817	PPHYT_01568	PSART_03106	PSPRE_01442	PTERA_02317	PTERE_01926	PXENO_00595
C1-hpah	PAGRI_00585	PBONN_02371	PHAYL_02454	PCALE_02798	PFUNG_02205	PMEGA_05898	PPHEM_04970	PPHEX_03007	PPHYM_00518	PPHYT_03242	PSART_00843	PSPRE_03298	PTERA_02928	PTERE_00512	PXENO_02911
fliP	PAGRI_04114	PBONN_00373	PHAYL_00370	PCALE_03313	PFUNG_01649	PMEGA_06470	PPHEM_00692	PPHEX_03528	PPHYM_03020	PPHYT_03809	PSART_04293	PSPRE_02750	PTERA_03459	PTERE_03050	PXENO_02335
trmB	PAGRI_00700	PBONN_00878	PHAYL_00938	PCALE_02694	PFUNG_02314	PMEGA_05702	PPHEM_04217	PPHEX_02904	PPHYM_00614	PPHYT_03131	PSART_00936	PSPRE_00072	PTERA_02825	PTERE_00632	PXENO_03031
group_973	PAGRI_03564	PBONN_00818	PHAYL_00872	PCALE_00501	PFUNG_00928	PMEGA_03252	PPHEM_05732	PPHEX_00468	PPHYM_02497	PPHYT_00767	PSART_00419	PSPRE_02084	PTERA_00546	PTERE_02515	PXENO_01586
group_616	PAGRI_00519	PBONN_02414	PHAYL_02601	PCALE_02862	PFUNG_02135	PMEGA_05963	PPHEM_04908	PPHEX_03070	PPHYM_00453	PPHYT_03306	PSART_00788	PSPRE_03230	PTERA_02991	PTERE_00445	PXENO_02850
sodB	PAGRI_00618	PBONN_02340	PHAYL_02420	PCALE_02767	PFUNG_02236	PMEGA_05868	PPHEM_05002	PPHEX_02976	PPHYM_00548	PPHYT_03210	PSART_00873	PSPRE_03328	PTERA_02897	PTERE_00543	PXENO_02942
rplM	PAGRI_00451	PBONN_02513	PHAYL_02721	PCALE_02922	PFUNG_02067	PMEGA_03126	PPHEM_05839	PPHEX_03131	PPHYM_02624	PPHYT_03371	PSART_02645	PSPRE_03162	PTERA_03055	PTERE_02645	PXENO_02781
group_1561	PAGRI_03776	PBONN_02572	PHAYL_02784	PCALE_02987	PFUNG_01994	PMEGA_06090	PPHEM_05910	PPHEX_03202	PPHYM_02695	PPHYT_03450	PSART_00192	PSPRE_03095	PTERA_03126	PTERE_02714	PXENO_02708
group_1280	PAGRI_00385	PBONN_02635	PHAYL_02814	PCALE_00344	PFUNG_01097	PMEGA_03048	PPHEM_04754	PPHEX_00310	PPHYM_00344	PPHYT_00600	PSART_00669	PSPRE_02234	PTERA_00372	PTERE_00335	PXENO_01789
group_1812	PAGRI_00328	PBONN_02684	PHAYL_02865	PCALE_00294	PFUNG_01153	PMEGA_02987	PPHEM_04700	PPHEX_00262	PPHYM_00288	PPHYT_00543	PSART_00615	PSPRE_02291	PTERA_00316	PTERE_00278	PXENO_01845
