PAGRI_00001	K02313
PAGRI_01995	K02040
PAGRI_01996	K08368
PAGRI_02002	K00059
PAGRI_02009	K15315
PAGRI_02011	K16137
PAGRI_02013	K00344
PAGRI_02020	K00573
PAGRI_02021	K03782
PAGRI_02024	K03808
PAGRI_02025	K06192
PAGRI_02026	K09857
PAGRI_02033	K09137
PAGRI_02034	K09137
PAGRI_02036	K07156
PAGRI_02039	K07241
PAGRI_02040	K00433
PAGRI_02047	K07789
PAGRI_02048	K07788
PAGRI_02049	K07799
PAGRI_02050	K00384
PAGRI_02051	K07032
PAGRI_02054	K11959
PAGRI_02055	K11960
PAGRI_02056	K11961
PAGRI_02057	K11962
PAGRI_02058	K11963
PAGRI_02059	K01426
PAGRI_02060	K04748
PAGRI_02061	K02448
PAGRI_02062	K01999
PAGRI_02064	K16137
PAGRI_02065	K18567
PAGRI_02066	K10254
PAGRI_02069	K05898
PAGRI_02073	K01941
PAGRI_02075	K09967
PAGRI_02076	K09967
PAGRI_02077	K02049
PAGRI_02078	K02050
PAGRI_02079	K02051
PAGRI_02083	K14274
PAGRI_02086	K02027
PAGRI_02087	K02025
PAGRI_02088	K02026
PAGRI_02091	K01714
PAGRI_02093	K00883
PAGRI_02094	K03535
PAGRI_02111	K05366
PAGRI_02112	K00209
PAGRI_02115	K00799
PAGRI_02117	K12251
PAGRI_02119	K01915
PAGRI_02120	K01845
PAGRI_02123	K00598
PAGRI_02128	K00276
PAGRI_02130	K00146
PAGRI_02132	K03566
PAGRI_02133	K00108
PAGRI_02134	K01684
PAGRI_02136	K07248
PAGRI_02142	K02575
PAGRI_02143	K00380
PAGRI_02144	K00363
PAGRI_02145	K00362
PAGRI_02148	K07140
PAGRI_02149	K11474
PAGRI_02150	K00104
PAGRI_02151	K11472
PAGRI_02152	K11473
PAGRI_02153	K11477
PAGRI_02154	K01638
PAGRI_02155	K00963
PAGRI_02171	K01711
PAGRI_02172	K09794
PAGRI_02173	K22468
PAGRI_02179	K16692
PAGRI_02180	K01991
PAGRI_02181	K01104
PAGRI_02182	K00012
PAGRI_02183	K03606
PAGRI_02184	K16011
PAGRI_02186	K09780
PAGRI_02192	K00697
PAGRI_02194	K06867
PAGRI_02195	K03424
PAGRI_02197	K02341
PAGRI_02198	K00943
PAGRI_02199	K07082
PAGRI_02200	K06980
PAGRI_02202	K01066
PAGRI_02204	K23256
PAGRI_02208	K00626
PAGRI_02209	K07516
PAGRI_02210	K20034
PAGRI_02211	K08997
PAGRI_02212	K07305
PAGRI_02213	K06190
PAGRI_02214	K05527
PAGRI_02215	K03769
PAGRI_02216	K07154
PAGRI_02218	K01952
PAGRI_02219	K00285
PAGRI_02220	K23997
PAGRI_02221	K01810
PAGRI_02222	K02003
PAGRI_02223	K10804
PAGRI_02225	K03770
PAGRI_02228	K03530
PAGRI_02229	K01338
PAGRI_02230	K03544
PAGRI_02231	K01358
PAGRI_02232	K03545
PAGRI_02233	K00865
PAGRI_02239	K02291
PAGRI_02242	K07659
PAGRI_02243	K07638
PAGRI_02244	K24126
PAGRI_02245	K01770
PAGRI_02246	K00991
PAGRI_02247	K03723
PAGRI_02248	K01438
PAGRI_02249	K01754
PAGRI_02250	K03282
PAGRI_02255	K07290
PAGRI_02256	K02068
PAGRI_02257	K02069
PAGRI_02259	K00344
PAGRI_02262	K01971
PAGRI_02263	K10979
PAGRI_02265	K01079
PAGRI_02268	K01760
PAGRI_02270	K00626
PAGRI_02271	K00874
PAGRI_02272	K14441
PAGRI_02273	K05541
PAGRI_02275	K00023
PAGRI_02276	K00626
PAGRI_02277	K03821
PAGRI_02279	K05810
PAGRI_02280	K06180
PAGRI_02281	K05807
PAGRI_02282	K03215
PAGRI_02283	K07501
PAGRI_02284	K03087
PAGRI_02285	K06194
PAGRI_02286	K00573
PAGRI_02287	K03787
PAGRI_02288	K00344
PAGRI_02289	K02050
PAGRI_02290	K02049
PAGRI_02291	K02051
PAGRI_02293	K06187
PAGRI_02294	K09747
PAGRI_02295	K02343
PAGRI_02296	K03671
PAGRI_02297	K03628
PAGRI_02300	K09933
PAGRI_02301	K02909
PAGRI_02303	K03327
PAGRI_02304	K01607
PAGRI_02306	K02237
PAGRI_02308	K03695
PAGRI_02309	K13771
PAGRI_02310	K06886
PAGRI_02311	K03635
PAGRI_02312	K03636
PAGRI_02313	K03750
PAGRI_02314	K01733
PAGRI_02315	K00003
PAGRI_02316	K14260
PAGRI_02320	K07806
PAGRI_02321	K10012
PAGRI_02322	K00604
PAGRI_02323	K10011
PAGRI_02324	K13014
PAGRI_02325	K03564
PAGRI_02326	K07175
PAGRI_02329	K03306
PAGRI_02330	K07220
PAGRI_02331	K02314
PAGRI_02332	K02939
PAGRI_02333	K02963
PAGRI_02334	K02686
PAGRI_02335	K02990
PAGRI_02339	K01608
PAGRI_02340	K01816
PAGRI_02341	K00042
PAGRI_02343	K01424
PAGRI_02344	K13635
PAGRI_02345	K02045
PAGRI_02346	K02047
PAGRI_02347	K02046
PAGRI_02348	K23163
PAGRI_02349	K01356
PAGRI_02354	K09695
PAGRI_02355	K09694
PAGRI_02356	K07486
PAGRI_02360	K03762
PAGRI_02362	K09954
PAGRI_02364	K00860
PAGRI_02367	K06160
PAGRI_02368	K10829
PAGRI_02369	K23228
PAGRI_02370	K23227
PAGRI_02371	K07116
PAGRI_02373	K16088
PAGRI_02377	K09190
PAGRI_02380	K05375
PAGRI_02381	K13888
PAGRI_02382	K05685
PAGRI_02383	K18139
PAGRI_02388	K05539
PAGRI_02395	K15555
PAGRI_02396	K15554
PAGRI_02397	K04091
PAGRI_02399	K01692
PAGRI_02405	K03297
PAGRI_02409	K00684
PAGRI_02410	K21420
PAGRI_02411	K00254
PAGRI_02412	K02424
PAGRI_02413	K10009
PAGRI_02414	K03100
PAGRI_02418	K02348
PAGRI_02420	K00249
PAGRI_02423	K01192
PAGRI_02425	K03606
PAGRI_02427	K18831
PAGRI_02429	K01807
PAGRI_02430	K03218
PAGRI_02431	K12573
PAGRI_02435	K01715
PAGRI_02436	K08191
PAGRI_02437	K00064
PAGRI_02438	K00014
PAGRI_02439	K13020
PAGRI_02440	K03522
PAGRI_02441	K03521
PAGRI_02442	K10440
PAGRI_02443	K10441
PAGRI_02444	K10440
PAGRI_02445	K10439
PAGRI_02447	K00130
PAGRI_02449	K01026
PAGRI_02456	K07006
PAGRI_02457	K03862
PAGRI_02458	K03566
PAGRI_02460	K10013
PAGRI_02461	K01451
PAGRI_02462	K14057
PAGRI_02463	K10013
PAGRI_02465	K07160
PAGRI_02466	K02160
PAGRI_02467	K01961
PAGRI_02468	K01941
PAGRI_02471	K07161
PAGRI_02474	K03518
PAGRI_02475	K03519
PAGRI_02476	K07402
PAGRI_02480	K02053
PAGRI_02481	K02054
PAGRI_02482	K02052
PAGRI_02483	K02055
PAGRI_02486	K16871
PAGRI_02487	K19333
PAGRI_02489	K00108
PAGRI_02490	K00135
PAGRI_02494	K19333
PAGRI_02495	K17828
PAGRI_02497	K11102
PAGRI_02498	K10001
PAGRI_02499	K00812
PAGRI_02501	K01704
PAGRI_02502	K01703
PAGRI_02504	K00459
PAGRI_02509	K02371
PAGRI_02511	K14393
PAGRI_02513	K00140
PAGRI_02514	K05916
PAGRI_02518	K03781
PAGRI_02521	K03168
PAGRI_02523	K17285
PAGRI_02524	K02050
PAGRI_02525	K02049
PAGRI_02526	K02051
PAGRI_02527	K03119
PAGRI_02530	K15553
PAGRI_02531	K02035
PAGRI_02535	K02035
PAGRI_02536	K02035
PAGRI_02537	K02033
PAGRI_02538	K02034
PAGRI_02539	K02031
PAGRI_02539	K02032
PAGRI_02541	K02056
PAGRI_02543	K10439
PAGRI_02545	K00854
PAGRI_02546	K00007
PAGRI_02547	K10440
PAGRI_02548	K10441
PAGRI_02549	K00045
PAGRI_02550	K10439
PAGRI_02551	K02529
PAGRI_02557	K15735
PAGRI_02563	K18383
PAGRI_02564	K21802
PAGRI_02565	K12508
PAGRI_02568	K08178
PAGRI_02570	K06445
PAGRI_02571	K00059
PAGRI_02573	K00626
PAGRI_02574	K01897
PAGRI_02577	K05797
PAGRI_02582	K03666
PAGRI_02592	K12511
PAGRI_02593	K12510
PAGRI_02594	K02283
PAGRI_02595	K02282
PAGRI_02596	K02280
PAGRI_02597	K02279
PAGRI_02599	K02278
PAGRI_02600	K02651
PAGRI_02606	K06916
PAGRI_02607	K00382
PAGRI_02608	K00658
PAGRI_02609	K00164
PAGRI_02610	K06207
PAGRI_02613	K03543
PAGRI_02614	K03446
PAGRI_02615	K03177
PAGRI_02616	K02834
PAGRI_02617	K02519
PAGRI_02618	K02600
PAGRI_02619	K09748
PAGRI_02620	K06178
PAGRI_02621	K06024
PAGRI_02632	K15034
PAGRI_02634	K03581
PAGRI_02635	K03582
PAGRI_02636	K03583
PAGRI_02639	K05800
PAGRI_02641	K22044
PAGRI_02642	K07118
PAGRI_02645	K07649
PAGRI_02646	K07774
PAGRI_02647	K03288
PAGRI_02648	K00344
PAGRI_02649	K02051
PAGRI_02650	K05520
PAGRI_02653	K03320
PAGRI_02654	K06199
PAGRI_02655	K03446
PAGRI_02656	K03543
PAGRI_02662	K22622
PAGRI_02663	K17225
PAGRI_02664	K02051
PAGRI_02665	K02049
PAGRI_02666	K02050
PAGRI_02667	K22879
PAGRI_02669	K02055
PAGRI_02670	K02052
PAGRI_02671	K02053
PAGRI_02671	K02054
PAGRI_02672	K01714
PAGRI_02673	K02624
PAGRI_02674	K15054
PAGRI_02675	K15553
PAGRI_02676	K15554
PAGRI_02677	K15554
PAGRI_02678	K15555
PAGRI_02679	K24116
PAGRI_02680	K22303
PAGRI_02682	K17228
PAGRI_02684	K02035
PAGRI_02686	K02035
PAGRI_02687	K01426
PAGRI_02688	K02073
PAGRI_02689	K02031
PAGRI_02689	K02032
PAGRI_02690	K02034
PAGRI_02691	K02033
PAGRI_02692	K02035
PAGRI_02693	K02035
PAGRI_02697	K04078
PAGRI_02698	K04077
PAGRI_02701	K24116
PAGRI_02702	K02058
PAGRI_02703	K20938
PAGRI_02705	K02057
PAGRI_02706	K02056
PAGRI_02709	K03710
PAGRI_02712	K02051
PAGRI_02713	K02050
PAGRI_02714	K02049
PAGRI_02717	K11717
PAGRI_02720	K00640
PAGRI_02723	K03929
PAGRI_02726	K08195
PAGRI_02728	K10221
PAGRI_02733	K02355
PAGRI_02734	K01867
PAGRI_02743	K09780
PAGRI_02744	K04098
PAGRI_02745	K00217
PAGRI_02746	K00128
PAGRI_02753	K07799
PAGRI_02754	K07788
PAGRI_02755	K07789
PAGRI_02758	K03564
PAGRI_02763	K01574
PAGRI_02764	K10013
PAGRI_02766	K00799
PAGRI_02767	K05526
PAGRI_02768	K01484
PAGRI_02769	K06447
PAGRI_02770	K00673
PAGRI_02771	K00673
PAGRI_02772	K00840
PAGRI_02773	K21825
PAGRI_02774	K10017
PAGRI_02775	K10015
PAGRI_02776	K10016
PAGRI_02778	K07497
PAGRI_02779	K07001
PAGRI_02782	K15553
PAGRI_02786	K15553
PAGRI_02788	K04091
PAGRI_02793	K00975
PAGRI_02794	K00703
PAGRI_02795	K00868
PAGRI_02797	K01999
PAGRI_02799	K07506
PAGRI_02803	K01458
PAGRI_02804	K05603
PAGRI_02805	K01468
PAGRI_02806	K09975
PAGRI_02807	K01712
PAGRI_02808	K05836
PAGRI_02809	K01745
PAGRI_02812	K14052
PAGRI_02813	K18540
PAGRI_02817	K06901
PAGRI_02820	K03762
PAGRI_02821	K01451
PAGRI_02822	K14057
PAGRI_02825	K00128
PAGRI_02826	K06995
PAGRI_02829	K21703
PAGRI_02830	K03885
PAGRI_02831	K05596
PAGRI_02832	K06895
PAGRI_02834	K03367
PAGRI_02835	K14188
PAGRI_02836	K19294
PAGRI_02838	K19295
PAGRI_02839	K19296
PAGRI_02840	K11739
PAGRI_02841	K11740
PAGRI_02843	K01791
PAGRI_02845	K02049
PAGRI_02846	K02050
PAGRI_02848	K02051
PAGRI_02849	K18336
PAGRI_02851	K01714
PAGRI_02859	K03293
PAGRI_02860	K01556
PAGRI_02861	K03392
PAGRI_02862	K00452
PAGRI_02863	K15067
PAGRI_02864	K01617
PAGRI_02865	K01666
PAGRI_02866	K04073
PAGRI_02867	K02554
PAGRI_02868	K10217
PAGRI_02870	K07493
PAGRI_02875	K11939
PAGRI_02876	K01790
PAGRI_02880	K02483
PAGRI_02888	K02483
PAGRI_02890	K02483
PAGRI_02892	K18138
PAGRI_02893	K03825
PAGRI_02894	K03825
PAGRI_02897	K13896
PAGRI_02898	K13895
PAGRI_02899	K13894
PAGRI_02900	K13893
PAGRI_02901	K02014
PAGRI_02904	K03559
PAGRI_02905	K03559
PAGRI_02906	K03561
PAGRI_02907	K03832
PAGRI_02908	K03701
PAGRI_02909	K01779
PAGRI_02912	K00249
PAGRI_02916	K00059
PAGRI_02921	K08995
PAGRI_02922	K03415
PAGRI_02927	K07006
PAGRI_02929	K01266
PAGRI_02934	K01799
PAGRI_02935	K00285
PAGRI_02936	K01999
PAGRI_02937	K01997
PAGRI_02938	K01995
PAGRI_02938	K01998
PAGRI_02939	K01996
PAGRI_02940	K03769
PAGRI_02941	K07326
PAGRI_02944	K04763
PAGRI_02949	K14393
PAGRI_02951	K01895
PAGRI_02955	K03224
PAGRI_02956	K03230
PAGRI_02957	K03229
PAGRI_02958	K03228
PAGRI_02959	K03227
PAGRI_02960	K03226
PAGRI_02961	K03225
PAGRI_02964	K03222
PAGRI_02970	K03219
PAGRI_02975	K01676
PAGRI_02976	K03594
PAGRI_02977	K01776
PAGRI_02978	K02192
PAGRI_02979	K03832
PAGRI_02980	K03561
PAGRI_02981	K03559
PAGRI_02984	K06911
PAGRI_02985	K07397
PAGRI_02989	K07243
PAGRI_02991	K07230
PAGRI_02992	K03702
PAGRI_02993	K00832
PAGRI_02994	K07001
PAGRI_02995	K00019
PAGRI_02997	K07115
PAGRI_03000	K19591
PAGRI_03001	K07213
PAGRI_03002	K00789
PAGRI_03003	K14162
PAGRI_03004	K14161
PAGRI_03017	K09861
PAGRI_03019	K14287
PAGRI_03020	K00799
PAGRI_03021	K00074
PAGRI_03022	K15866
PAGRI_03025	K00249
PAGRI_03026	K11209
PAGRI_03034	K01515
PAGRI_03036	K00343
PAGRI_03037	K00342
PAGRI_03038	K00341
PAGRI_03039	K00340
PAGRI_03040	K00339
PAGRI_03041	K00338
PAGRI_03042	K00337
PAGRI_03043	K00336
PAGRI_03044	K00335
PAGRI_03045	K00334
PAGRI_03046	K00333
PAGRI_03047	K00332
PAGRI_03048	K00331
PAGRI_03049	K00330
PAGRI_03051	K03075
PAGRI_03052	K01803
PAGRI_03053	K00344
PAGRI_03054	K00962
PAGRI_03055	K02956
PAGRI_03056	K01999
PAGRI_03058	K01673
PAGRI_03060	K01649
PAGRI_03061	K17103
PAGRI_03062	K01613
PAGRI_03063	K00053
PAGRI_03064	K01653
PAGRI_03065	K01652
PAGRI_03072	K00901
PAGRI_03078	K06886
PAGRI_03079	K02004
PAGRI_03081	K11741
PAGRI_03082	K07667
PAGRI_03083	K07646
PAGRI_03084	K01548
PAGRI_03085	K01547
PAGRI_03086	K01546
PAGRI_03090	K00344
PAGRI_03091	K01734
PAGRI_03092	K00059
PAGRI_03093	K00761
PAGRI_03095	K01945
PAGRI_03096	K00228
PAGRI_03097	K00969
PAGRI_03098	K09710
PAGRI_03099	K00783
PAGRI_03100	K06287
PAGRI_03101	K08301
PAGRI_03102	K03892
PAGRI_03103	K03325
PAGRI_03104	K00537
PAGRI_03105	K11811
PAGRI_03109	K03442
PAGRI_03112	K05297
PAGRI_03115	K08968
PAGRI_03116	K02019
PAGRI_03118	K04750
PAGRI_03121	K07346
PAGRI_03122	K07347
PAGRI_03135	K03554
PAGRI_03139	K02847
PAGRI_03141	K11085
PAGRI_03142	K12984
PAGRI_03143	K02337
PAGRI_03144	K07146
PAGRI_03145	K01894
PAGRI_03149	K11927
PAGRI_03151	K01652
PAGRI_03154	K08289
PAGRI_03156	K03466
PAGRI_03157	K07404
PAGRI_03162	K05973
PAGRI_03164	K03616
PAGRI_03165	K10773
PAGRI_03170	K09989
PAGRI_03171	K05782
PAGRI_03172	K00616
PAGRI_03173	K04750
PAGRI_03175	K03307
PAGRI_03179	K03181
PAGRI_03182	K04079
PAGRI_03185	K05825
PAGRI_03189	K07240
PAGRI_03191	K02621
PAGRI_03192	K02622
PAGRI_03193	K15738
PAGRI_03198	K03746
PAGRI_03201	K11209
PAGRI_03205	K00558
PAGRI_03206	K07458
PAGRI_03208	K08169
PAGRI_03209	K00697
PAGRI_03218	K02049
PAGRI_03219	K02050
PAGRI_03222	K07638
PAGRI_03223	K07659
PAGRI_03224	K06006
PAGRI_03225	K06911
PAGRI_03227	K10016
PAGRI_03228	K10015
PAGRI_03229	K10017
PAGRI_03231	K04751
PAGRI_03232	K01950
PAGRI_03233	K09919
PAGRI_03234	K07461
PAGRI_03236	K01507
PAGRI_03237	K00128
PAGRI_03238	K00059
PAGRI_03240	K02498
PAGRI_03241	K13543
PAGRI_03242	K01749
PAGRI_03243	K01595
PAGRI_03246	K01755
PAGRI_03248	K03832
PAGRI_03252	K02841
PAGRI_03256	K03608
PAGRI_03257	K03609
PAGRI_03258	K03610
PAGRI_03260	K01265
PAGRI_03262	K03322
PAGRI_03264	K00574
PAGRI_03265	K09701
PAGRI_03266	K06954
PAGRI_03272	K01875
PAGRI_03273	K07478
PAGRI_03274	K03457
PAGRI_03275	K12255
PAGRI_03276	K21699
PAGRI_03277	K03634
PAGRI_03278	K03466
PAGRI_03279	K00384
PAGRI_03282	K02407
PAGRI_03283	K02406
PAGRI_03284	K02390
PAGRI_03285	K00799
PAGRI_03286	K18900
PAGRI_03287	K10112
PAGRI_03288	K17317
PAGRI_03289	K17316
PAGRI_03290	K17315
PAGRI_03291	K00036
PAGRI_03292	K01057
PAGRI_03293	K00845
PAGRI_03295	K08994
PAGRI_03297	K01584
PAGRI_03298	K01494
PAGRI_03299	K04565
PAGRI_03300	K03593
PAGRI_03302	K01874
PAGRI_03303	K09800
PAGRI_03304	K07278
PAGRI_03306	K05896
PAGRI_03307	K01918
PAGRI_03308	K01579
PAGRI_03309	K03496
PAGRI_03310	K19222
PAGRI_03313	K15977
PAGRI_03314	K02232
PAGRI_03315	K02231
PAGRI_03316	K02227
PAGRI_03317	K02225
PAGRI_03318	K02016
PAGRI_03320	K02226
PAGRI_03321	K02233
PAGRI_03322	K00768
PAGRI_03323	K02013
PAGRI_03324	K02015
PAGRI_03327	K09888
PAGRI_03330	K13292
PAGRI_03332	K01687
PAGRI_03333	K08738
PAGRI_03335	K02339
PAGRI_03336	K01255
PAGRI_03337	K07091
PAGRI_03338	K11720
PAGRI_03339	K03795
PAGRI_03340	K02303
PAGRI_03341	K00956
PAGRI_03342	K00957
PAGRI_03343	K00390
PAGRI_03345	K00381
PAGRI_03346	K13634
PAGRI_03347	K01999
PAGRI_03348	K03585
PAGRI_03353	K10439
PAGRI_03354	K10440
PAGRI_03355	K10441
PAGRI_03356	K05499
PAGRI_03357	K00573
PAGRI_03359	K12340
PAGRI_03366	K11959
PAGRI_03367	K11960
PAGRI_03368	K11961
PAGRI_03369	K11962
PAGRI_03372	K11963
PAGRI_03373	K03190
PAGRI_03375	K14645
PAGRI_03377	K02030
PAGRI_03378	K01430
PAGRI_03379	K01429
PAGRI_03380	K01428
PAGRI_03381	K03187
PAGRI_03382	K03188
PAGRI_03383	K03189
PAGRI_03384	K02527
PAGRI_03386	K02841
PAGRI_03387	K15778
PAGRI_03391	K01784
PAGRI_03395	K16695
PAGRI_03396	K16692
PAGRI_03397	K21000
PAGRI_03403	K05874
PAGRI_03408	K01784
PAGRI_03410	K03273
PAGRI_03411	K13005
PAGRI_03416	K03321
PAGRI_03418	K03271
PAGRI_03419	K00978
PAGRI_03420	K01709
PAGRI_03421	K12452
PAGRI_03422	K08678
PAGRI_03423	K15669
PAGRI_03424	K07031
PAGRI_03426	K01652
PAGRI_03428	K09691
PAGRI_03431	K00067
PAGRI_03432	K01790
PAGRI_03433	K00973
PAGRI_03434	K01710
PAGRI_03435	K22252
PAGRI_03436	K01525
PAGRI_03437	K00655
PAGRI_03438	K01465
PAGRI_03439	K00609
PAGRI_03440	K02825
PAGRI_03441	K07447
PAGRI_03442	K07735
PAGRI_03445	K00941
PAGRI_03446	K00860
PAGRI_03447	K04077
PAGRI_03448	K04078
PAGRI_03449	K07498
PAGRI_03451	K11616
PAGRI_03452	K01644
PAGRI_03459	K02363
PAGRI_03462	K01075
PAGRI_03463	K01799
PAGRI_03466	K17948
PAGRI_03470	K01186
PAGRI_03474	K00036
PAGRI_03477	K00820
PAGRI_03478	K01443
PAGRI_03479	K03710
PAGRI_03481	K10823
PAGRI_03482	K02031
PAGRI_03483	K01714
PAGRI_03484	K02034
PAGRI_03485	K02033
PAGRI_03486	K02035
PAGRI_03487	K00885
PAGRI_03488	K01788
PAGRI_03497	K05841
PAGRI_03500	K07152
PAGRI_03501	K04618
PAGRI_03502	K02305
PAGRI_03512	K03818
PAGRI_03514	K03208
PAGRI_03516	K02377
PAGRI_03517	K01711
PAGRI_03518	K16692
PAGRI_03519	K01991
PAGRI_03520	K03606
PAGRI_03521	K16011
PAGRI_03525	K03207
PAGRI_03531	K04033
PAGRI_03533	K08369
PAGRI_03535	K01640
PAGRI_03538	K07090
PAGRI_03544	K07402
PAGRI_03545	K13482
PAGRI_03546	K13481
PAGRI_03548	K00830
PAGRI_03549	K09758
PAGRI_03550	K07085
PAGRI_03551	K07085
PAGRI_03553	K03778
PAGRI_03555	K01692
PAGRI_03556	K19577
PAGRI_03558	K01555
PAGRI_03559	K00451
PAGRI_03560	K08195
PAGRI_03563	K00252
PAGRI_03564	K24158
PAGRI_03568	K02655
PAGRI_03570	K02672
PAGRI_03572	K08084
PAGRI_03573	K07738
PAGRI_03574	K00600
PAGRI_03575	K16066
PAGRI_03576	K07107
PAGRI_03577	K03562
PAGRI_03578	K03560
PAGRI_03579	K03646
PAGRI_03580	K03641
PAGRI_03581	K03640
PAGRI_03587	K02453
PAGRI_03588	K10954
PAGRI_03596	K01092
PAGRI_03597	K01771
PAGRI_03599	K05816
PAGRI_03601	K02026
PAGRI_03602	K02025
PAGRI_03603	K02027
PAGRI_03605	K03442
PAGRI_03606	K03975
PAGRI_03607	K03572
PAGRI_03608	K00791
PAGRI_03609	K01933
PAGRI_03611	K10763
PAGRI_03613	K00970
PAGRI_03614	K00950
PAGRI_03615	K15518
PAGRI_03616	K00606
PAGRI_03617	K03342
PAGRI_03618	K03686
PAGRI_03619	K04043
PAGRI_03621	K03687
PAGRI_03622	K04762
PAGRI_03623	K01772
PAGRI_03624	K03705
PAGRI_03625	K00858
PAGRI_03626	K03631
PAGRI_03627	K00982
PAGRI_03629	K11206
PAGRI_03630	K03568
PAGRI_03631	K01626
PAGRI_03634	K05916
PAGRI_03635	K00798
PAGRI_03636	K00102
PAGRI_03637	K00104
PAGRI_03638	K11472
PAGRI_03639	K11473
PAGRI_03640	K06997
PAGRI_03641	K00286
PAGRI_03642	K03179
PAGRI_03643	K04047
PAGRI_03645	K03781
PAGRI_03647	K04761
PAGRI_03648	K03655
PAGRI_03649	K07568
PAGRI_03650	K00773
PAGRI_03651	K03210
PAGRI_03652	K03072
PAGRI_03653	K03074
PAGRI_03654	K03762
PAGRI_03658	K03808
PAGRI_03659	K03808
PAGRI_03660	K06192
PAGRI_03661	K09857
PAGRI_03664	K06015
PAGRI_03666	K01753
PAGRI_03670	K14731
PAGRI_03675	K06188
PAGRI_03676	K07687
PAGRI_03677	K07687
PAGRI_03678	K07687
PAGRI_03686	K07444
PAGRI_03687	K06996
PAGRI_03689	K00325
PAGRI_03690	K00324
PAGRI_03691	K00324
PAGRI_03693	K00566
PAGRI_03700	K19048
PAGRI_03704	K01878
PAGRI_03705	K01879
PAGRI_03706	K03273
PAGRI_03707	K00655
PAGRI_03710	K01759
PAGRI_03711	K01897
PAGRI_03718	K02528
PAGRI_03719	K00097
PAGRI_03720	K03771
PAGRI_03721	K04744
PAGRI_03722	K07102
PAGRI_03723	K00992
PAGRI_03724	K06147
PAGRI_03725	K10806
PAGRI_03727	K03566
PAGRI_03734	K02379
PAGRI_03736	K00632
PAGRI_03737	K07516
PAGRI_03741	K06131
PAGRI_03742	K08310
PAGRI_03743	K01876
PAGRI_03747	K03688
PAGRI_03748	K03690
PAGRI_03750	K03183
PAGRI_03754	K01754
PAGRI_03755	K01081
PAGRI_03756	K06879
PAGRI_03757	K07497
PAGRI_03758	K07483
PAGRI_03760	K07497
PAGRI_03761	K07486
PAGRI_03763	K03814
PAGRI_03764	K00014
PAGRI_03765	K01147
PAGRI_03766	K07000
PAGRI_03767	K02558
PAGRI_03770	K03786
PAGRI_03771	K02160
PAGRI_03772	K01961
PAGRI_03773	K02687
PAGRI_03775	K11065
PAGRI_03776	K00856
PAGRI_03777	K06077
PAGRI_03780	K00526
PAGRI_03781	K00525
PAGRI_03782	K03806
PAGRI_03785	K03106
PAGRI_03786	K00760
PAGRI_03788	K01881
PAGRI_03789	K08311
PAGRI_03791	K00931
PAGRI_03792	K03979
PAGRI_03793	K02899
PAGRI_03794	K02888
PAGRI_03795	K02523
PAGRI_03798	K02652
PAGRI_03799	K02653
PAGRI_03800	K02654
PAGRI_03801	K00859
PAGRI_03802	K18778
PAGRI_03803	K09862
PAGRI_03804	K03574
PAGRI_03805	K06923
PAGRI_03806	K00620
PAGRI_03807	K03070
PAGRI_03809	K02535
PAGRI_03810	K24138
PAGRI_03811	K03531
PAGRI_03812	K03590
PAGRI_03813	K03589
PAGRI_03814	K01921
PAGRI_03815	K01924
PAGRI_03816	K02563
PAGRI_03817	K03588
PAGRI_03818	K01925
PAGRI_03819	K01000
PAGRI_03820	K01929
PAGRI_03821	K01928
PAGRI_03822	K03587
PAGRI_03823	K03586
PAGRI_03824	K03438
PAGRI_03825	K03925
PAGRI_03826	K06134
PAGRI_03828	K01897
PAGRI_03836	K01692
PAGRI_03838	K00632
PAGRI_03839	K15866
PAGRI_03840	K02614
PAGRI_03841	K01912
PAGRI_03842	K08304
PAGRI_03844	K06195
PAGRI_03845	K01783
PAGRI_03846	K01091
PAGRI_03847	K01657
PAGRI_03848	K01658
PAGRI_03849	K00766
PAGRI_03850	K01609
PAGRI_03851	K18446
PAGRI_03852	K03648
PAGRI_03853	K01118
PAGRI_03855	K03981
PAGRI_03856	K18800
PAGRI_03857	K06942
PAGRI_03858	K05813
PAGRI_03859	K05814
PAGRI_03860	K05815
PAGRI_03861	K05816
PAGRI_03865	K01560
PAGRI_03866	K01262
PAGRI_03869	K02492
PAGRI_03870	K02835
PAGRI_03871	K02493
PAGRI_03872	K07390
PAGRI_03873	K03186
PAGRI_03874	K15777
PAGRI_03876	K03704
PAGRI_03877	K04046
PAGRI_03882	K09941
PAGRI_03889	K03600
PAGRI_03890	K03599
PAGRI_03891	K00413
PAGRI_03892	K00412
PAGRI_03893	K00411
PAGRI_03895	K04772
PAGRI_03896	K03118
PAGRI_03897	K03117
PAGRI_03898	K03116
PAGRI_03899	K02503
PAGRI_03901	K01523
PAGRI_03902	K01496
PAGRI_03903	K02500
PAGRI_03904	K01814
PAGRI_03905	K02501
PAGRI_03906	K05595
PAGRI_03907	K01693
PAGRI_03908	K00817
PAGRI_03909	K00013
PAGRI_03910	K00765
PAGRI_03911	K00790
PAGRI_03913	K01992
PAGRI_03914	K01990
PAGRI_03915	K07122
PAGRI_03916	K07323
PAGRI_03917	K04754
PAGRI_03918	K02067
PAGRI_03919	K02066
PAGRI_03920	K02065
PAGRI_03921	K00788
PAGRI_03922	K03149
PAGRI_03923	K03154
PAGRI_03924	K03153
PAGRI_03925	K02471
PAGRI_03926	K00059
