PFUNG_00005	K06916
PFUNG_01842	K03149
PFUNG_01843	K00788
PFUNG_01844	K02065
PFUNG_01845	K02066
PFUNG_01846	K02067
PFUNG_01847	K04754
PFUNG_01848	K07323
PFUNG_01849	K07122
PFUNG_01850	K01990
PFUNG_01851	K01992
PFUNG_01853	K00790
PFUNG_01854	K00765
PFUNG_01855	K00013
PFUNG_01856	K00817
PFUNG_01857	K01693
PFUNG_01858	K05595
PFUNG_01859	K02501
PFUNG_01860	K01814
PFUNG_01861	K02500
PFUNG_01862	K01496
PFUNG_01863	K01523
PFUNG_01865	K02503
PFUNG_01866	K03116
PFUNG_01867	K03117
PFUNG_01868	K03118
PFUNG_01869	K04772
PFUNG_01871	K00411
PFUNG_01872	K00412
PFUNG_01873	K00413
PFUNG_01874	K03599
PFUNG_01875	K03600
PFUNG_01882	K09941
PFUNG_01887	K04046
PFUNG_01888	K03704
PFUNG_01890	K15777
PFUNG_01891	K03186
PFUNG_01892	K07390
PFUNG_01893	K02493
PFUNG_01894	K02835
PFUNG_01895	K02492
PFUNG_01898	K01262
PFUNG_01899	K01560
PFUNG_01902	K05816
PFUNG_01903	K05815
PFUNG_01904	K05814
PFUNG_01905	K05813
PFUNG_01906	K06942
PFUNG_01913	K18800
PFUNG_01914	K03981
PFUNG_01916	K01118
PFUNG_01917	K03648
PFUNG_01918	K18446
PFUNG_01919	K01609
PFUNG_01920	K00766
PFUNG_01921	K01658
PFUNG_01922	K01657
PFUNG_01923	K01091
PFUNG_01924	K01783
PFUNG_01925	K06195
PFUNG_01927	K08304
PFUNG_01928	K01912
PFUNG_01929	K02614
PFUNG_01930	K15866
PFUNG_01931	K00632
PFUNG_01933	K01692
PFUNG_01941	K01897
PFUNG_01943	K06134
PFUNG_01944	K03925
PFUNG_01945	K03438
PFUNG_01946	K03586
PFUNG_01947	K03587
PFUNG_01948	K01928
PFUNG_01949	K01929
PFUNG_01950	K01000
PFUNG_01951	K01925
PFUNG_01952	K03588
PFUNG_01953	K02563
PFUNG_01954	K01924
PFUNG_01955	K01921
PFUNG_01956	K03589
PFUNG_01957	K03590
PFUNG_01958	K03531
PFUNG_01959	K24138
PFUNG_01960	K02535
PFUNG_01962	K00986
PFUNG_01963	K03070
PFUNG_01964	K00620
PFUNG_01965	K06923
PFUNG_01966	K03574
PFUNG_01967	K09862
PFUNG_01968	K18778
PFUNG_01969	K00859
PFUNG_01970	K02654
PFUNG_01971	K02653
PFUNG_01972	K02652
PFUNG_01975	K02523
PFUNG_01976	K02888
PFUNG_01977	K02899
PFUNG_01978	K03979
PFUNG_01979	K00931
PFUNG_01981	K08311
PFUNG_01982	K01881
PFUNG_01984	K00760
PFUNG_01985	K03106
PFUNG_01988	K03806
PFUNG_01989	K00525
PFUNG_01990	K00526
PFUNG_01993	K06077
PFUNG_01994	K00856
PFUNG_01995	K11065
PFUNG_01997	K02687
PFUNG_01998	K01961
PFUNG_01999	K02160
PFUNG_02000	K03786
PFUNG_02003	K02558
PFUNG_02004	K07000
PFUNG_02005	K01147
PFUNG_02006	K00014
PFUNG_02007	K03814
PFUNG_02009	K00883
PFUNG_02010	K01631
PFUNG_02012	K10537
PFUNG_02013	K10539
PFUNG_02014	K10538
PFUNG_02015	K22185
PFUNG_02016	K13874
PFUNG_02017	K01785
PFUNG_02018	K01591
PFUNG_02019	K09705
PFUNG_02020	K03743
PFUNG_02021	K01095
PFUNG_02022	K00946
PFUNG_02023	K00029
PFUNG_02024	K01167
PFUNG_02026	K09761
PFUNG_02028	K00797
PFUNG_02029	K00615
PFUNG_02030	K00134
PFUNG_02031	K05799
PFUNG_02032	K11103
PFUNG_02033	K01477
PFUNG_02034	K01483
PFUNG_02035	K03711
PFUNG_02036	K06186
PFUNG_02037	K00215
PFUNG_02038	K03561
PFUNG_02039	K03559
PFUNG_02040	K01869
PFUNG_02041	K03643
PFUNG_02042	K02340
PFUNG_02043	K00147
PFUNG_02044	K08973
PFUNG_02045	K21449
PFUNG_02046	K19337
PFUNG_02047	K01690
PFUNG_02048	K01625
PFUNG_02049	K03299
PFUNG_02050	K00851
PFUNG_02052	K01756
PFUNG_02053	K21645
PFUNG_02054	K00261
PFUNG_02055	K10001
PFUNG_02056	K10003
PFUNG_02057	K10002
PFUNG_02058	K10004
PFUNG_02060	K01465
PFUNG_02062	K07397
PFUNG_02063	K07347
PFUNG_02065	K07679
PFUNG_02066	K07687
PFUNG_02067	K02871
PFUNG_02068	K02996
PFUNG_02069	K15724
PFUNG_02070	K09001
PFUNG_02071	K01866
PFUNG_02072	K07560
PFUNG_02073	K15634
PFUNG_02074	K03551
PFUNG_02075	K03550
PFUNG_02077	K01159
PFUNG_02079	K00602
PFUNG_02080	K03557
PFUNG_02081	K05540
PFUNG_02082	K03185
PFUNG_02083	K01262
PFUNG_02084	K00799
PFUNG_02085	K03820
PFUNG_02086	K06189
PFUNG_02087	K07232
PFUNG_02088	K07042
PFUNG_02089	K06217
PFUNG_02090	K06168
PFUNG_02093	K19577
PFUNG_02095	K02858
PFUNG_02097	K02440
PFUNG_02098	K00864
PFUNG_02099	K00111
PFUNG_02103	K02444
PFUNG_02104	K00681
PFUNG_02105	K03762
PFUNG_02108	K11927
PFUNG_02109	K11068
PFUNG_02112	K07156
PFUNG_02113	K07245
PFUNG_02116	K08194
PFUNG_02117	K01684
PFUNG_02119	K03446
PFUNG_02121	K21703
PFUNG_02124	K01114
PFUNG_02128	K07649
PFUNG_02129	K02483
PFUNG_02130	K03553
PFUNG_02131	K03565
PFUNG_02133	K01903
PFUNG_02134	K01902
PFUNG_02136	K02650
PFUNG_02138	K03637
PFUNG_02139	K01423
PFUNG_02141	K07019
PFUNG_02143	K02843
PFUNG_02145	K00826
PFUNG_02148	K00927
PFUNG_02149	K00873
PFUNG_02150	K01624
PFUNG_02151	K01923
PFUNG_02152	K01588
PFUNG_02153	K01589
PFUNG_02154	K07566
PFUNG_02157	K07259
PFUNG_02158	K07666
PFUNG_02159	K02484
PFUNG_02160	K04771
PFUNG_02163	K09386
PFUNG_02166	K03577
PFUNG_02167	K03585
PFUNG_02168	K18138
PFUNG_02169	K18139
PFUNG_02170	K24206
PFUNG_02171	K00854
PFUNG_02172	K00121
PFUNG_02173	K01070
PFUNG_02174	K02075
PFUNG_02175	K02074
PFUNG_02176	K02077
PFUNG_02178	K10227
PFUNG_02179	K10228
PFUNG_02180	K10229
PFUNG_02182	K10111
PFUNG_02184	K00854
PFUNG_02185	K00007
PFUNG_02187	K10439
PFUNG_02188	K10441
PFUNG_02189	K10440
PFUNG_02190	K23271
PFUNG_02191	K00854
PFUNG_02192	K03331
PFUNG_02194	K07326
PFUNG_02200	K15125
PFUNG_02201	K00453
PFUNG_02202	K01556
PFUNG_02203	K07130
PFUNG_02204	K03719
PFUNG_02206	K07304
PFUNG_02208	K00574
PFUNG_02209	K00275
PFUNG_02210	K22132
PFUNG_02211	K05838
PFUNG_02213	K15268
PFUNG_02214	K01448
PFUNG_02215	K06925
PFUNG_02216	K18979
PFUNG_02217	K00567
PFUNG_02218	K04763
PFUNG_02219	K01897
PFUNG_02221	K08591
PFUNG_02222	K09767
PFUNG_02223	K00075
PFUNG_02224	K01940
PFUNG_02225	K00611
PFUNG_02227	K02968
PFUNG_02228	K03980
PFUNG_02231	K00939
PFUNG_02232	K00979
PFUNG_02233	K09791
PFUNG_02234	K00912
PFUNG_02235	K03601
PFUNG_02236	K04564
PFUNG_02237	K09667
PFUNG_02243	K01358
PFUNG_02249	K01647
PFUNG_02251	K03710
PFUNG_02255	K02031
PFUNG_02255	K02032
PFUNG_02256	K02034
PFUNG_02257	K02033
PFUNG_02258	K02035
PFUNG_02260	K01674
PFUNG_02261	K02355
PFUNG_02262	K09005
PFUNG_02263	K06181
PFUNG_02264	K00031
PFUNG_02265	K03704
PFUNG_02266	K06891
PFUNG_02267	K03694
PFUNG_02268	K01520
PFUNG_02270	K13038
PFUNG_02271	K03101
PFUNG_02272	K01870
PFUNG_02273	K11753
PFUNG_02274	K11175
PFUNG_02275	K03500
PFUNG_02277	K00507
PFUNG_02278	K03517
PFUNG_02279	K00767
PFUNG_02280	K00278
PFUNG_02281	K02913
PFUNG_02282	K02902
PFUNG_02283	K03630
PFUNG_02284	K03774
PFUNG_02285	K03527
PFUNG_02286	K01999
PFUNG_02287	K01997
PFUNG_02288	K01998
PFUNG_02289	K01995
PFUNG_02290	K01996
PFUNG_02292	K00821
PFUNG_02293	K00523
PFUNG_02296	K06183
PFUNG_02299	K13051
PFUNG_02300	K13892
PFUNG_02301	K13889
PFUNG_02302	K13890
PFUNG_02303	K13891
PFUNG_02304	K01266
PFUNG_02305	K16203
PFUNG_02306	K00156
PFUNG_02308	K11734
PFUNG_02310	K02495
PFUNG_02311	K06940
PFUNG_02313	K06153
PFUNG_02314	K03439
PFUNG_02317	K02221
PFUNG_02322	K22589
PFUNG_02323	K06895
PFUNG_02324	K03182
PFUNG_02327	K03625
PFUNG_02328	K00794
PFUNG_02329	K14652
PFUNG_02331	K00793
PFUNG_02332	K11752
PFUNG_02333	K01845
PFUNG_02336	K07552
PFUNG_02343	K02428
PFUNG_02344	K00989
PFUNG_02346	K00942
PFUNG_02347	K03060
PFUNG_02348	K01139
PFUNG_02352	K04760
PFUNG_02356	K02342
PFUNG_02357	K04093
PFUNG_02363	K03841
PFUNG_02364	K21498
PFUNG_02365	K07334
PFUNG_02366	K01256
PFUNG_02370	K02078
PFUNG_02371	K02078
PFUNG_02375	K01745
PFUNG_02376	K07107
PFUNG_02379	K00647
PFUNG_02381	K00059
PFUNG_02382	K09458
PFUNG_02383	K00647
PFUNG_02388	K01487
PFUNG_02389	K21053
PFUNG_02390	K07402
PFUNG_02391	K13482
PFUNG_02392	K13481
PFUNG_02393	K03611
PFUNG_02394	K02433
PFUNG_02398	K03455
PFUNG_02399	K07010
PFUNG_02404	K03288
PFUNG_02406	K21903
PFUNG_02407	K16264
PFUNG_02409	K00126
PFUNG_02410	K00123
PFUNG_02411	K00124
PFUNG_02412	K00127
PFUNG_02416	K22292
PFUNG_02417	K00568
PFUNG_02418	K03286
PFUNG_02419	K02469
PFUNG_02420	K09924
PFUNG_02421	K00831
PFUNG_02422	K14170
PFUNG_02423	K00817
PFUNG_02424	K04517
PFUNG_02425	K00800
PFUNG_02426	K00945
PFUNG_02427	K02945
PFUNG_02428	K05788
PFUNG_02430	K08992
PFUNG_02431	K19804
PFUNG_02432	K00012
PFUNG_02433	K21344
PFUNG_02434	K03274
PFUNG_02435	K02237
PFUNG_02436	K12339
PFUNG_02437	K08305
PFUNG_02440	K01054
PFUNG_02441	K02071
PFUNG_02442	K02072
PFUNG_02443	K02073
PFUNG_02444	K03521
PFUNG_02445	K03522
PFUNG_02446	K20035
PFUNG_02447	K00285
PFUNG_02448	K03719
PFUNG_02452	K02959
PFUNG_02453	K02860
PFUNG_02454	K00554
PFUNG_02455	K02884
PFUNG_02457	K02227
PFUNG_02459	K06949
PFUNG_02460	K06013
PFUNG_02461	K13288
PFUNG_02462	K03831
PFUNG_02463	K09889
PFUNG_02464	K03592
PFUNG_02465	K00287
PFUNG_02469	K06992
PFUNG_02475	K00560
PFUNG_02483	K01679
PFUNG_02484	K06132
PFUNG_02485	K03453
PFUNG_02486	K03327
PFUNG_02487	K14761
PFUNG_02490	K03657
PFUNG_02495	K05805
PFUNG_02498	K05524
PFUNG_02499	K00763
PFUNG_02500	K00782
PFUNG_02502	K00090
PFUNG_02503	K09760
PFUNG_02506	K03750
PFUNG_02507	K03752
PFUNG_02508	K03639
PFUNG_02509	K08300
PFUNG_02511	K01091
PFUNG_02513	K04773
PFUNG_02514	K07056
PFUNG_02515	K06287
PFUNG_02516	K07040
PFUNG_02517	K02911
PFUNG_02518	K03621
PFUNG_02519	K00648
PFUNG_02520	K00645
PFUNG_02521	K00059
PFUNG_02522	K02078
PFUNG_02523	K09458
PFUNG_02525	K03088
PFUNG_02526	K03597
PFUNG_02527	K03598
PFUNG_02528	K04771
PFUNG_02530	K03596
PFUNG_02531	K03100
PFUNG_02532	K03685
PFUNG_02533	K03595
PFUNG_02534	K03584
PFUNG_02535	K03474
PFUNG_02536	K00997
PFUNG_02537	K01207
PFUNG_02540	K02356
PFUNG_02542	K03703
PFUNG_02543	K08744
PFUNG_02548	K09973
PFUNG_02549	K02348
PFUNG_02550	K02351
PFUNG_02551	K09796
PFUNG_02552	K07152
PFUNG_02553	K01087
PFUNG_02554	K00697
PFUNG_02555	K06147
PFUNG_02558	K08983
PFUNG_02561	K02342
PFUNG_02562	K03469
PFUNG_02564	K01069
PFUNG_02565	K08307
PFUNG_02567	K01956
PFUNG_02568	K01955
PFUNG_02569	K03624
PFUNG_02571	K07574
PFUNG_02572	K02427
PFUNG_02573	K03798
PFUNG_02574	K00796
PFUNG_02575	K03431
PFUNG_02576	K02040
PFUNG_02577	K02037
PFUNG_02578	K02038
PFUNG_02579	K02036
PFUNG_02580	K02039
PFUNG_02581	K07657
PFUNG_02582	K07636
PFUNG_02583	K00937
PFUNG_02584	K01524
PFUNG_02586	K08296
PFUNG_02589	K03327
PFUNG_02591	K18555
PFUNG_02595	K06153
PFUNG_02599	K00428
PFUNG_02603	K10001
PFUNG_02604	K01886
PFUNG_02605	K00681
PFUNG_02606	K07002
PFUNG_02608	K01872
PFUNG_02611	K01620
PFUNG_02612	K03426
PFUNG_02613	K07107
PFUNG_02614	K01997
PFUNG_02615	K01998
PFUNG_02616	K01995
PFUNG_02617	K01996
PFUNG_02619	K03337
PFUNG_02620	K03335
PFUNG_02621	K03336
PFUNG_02622	K03338
PFUNG_02623	K02056
PFUNG_02624	K02057
PFUNG_02625	K02058
PFUNG_02627	K00010
PFUNG_02628	K00010
PFUNG_02629	K04085
PFUNG_02630	K00963
PFUNG_02631	K01873
PFUNG_02632	K03657
PFUNG_02633	K01243
PFUNG_02634	K01908
PFUNG_02635	K08223
PFUNG_02636	K03406
PFUNG_02638	K21695
PFUNG_02647	K03809
PFUNG_02648	K07058
PFUNG_02651	K01740
PFUNG_02654	K01736
PFUNG_02656	K00311
PFUNG_02658	K07107
PFUNG_02660	K01028
PFUNG_02661	K01029
PFUNG_02664	K00951
PFUNG_02666	K01868
PFUNG_02667	K02520
PFUNG_02668	K02916
PFUNG_02669	K02887
PFUNG_02670	K01889
PFUNG_02671	K01890
PFUNG_02672	K04764
PFUNG_02676	K20975
PFUNG_02682	K12132
PFUNG_02684	K11902
PFUNG_02685	K11901
PFUNG_02686	K11900
PFUNG_02687	K11903
PFUNG_02688	K11898
PFUNG_02689	K11897
PFUNG_02690	K11896
PFUNG_02691	K11895
PFUNG_02692	K11907
PFUNG_02694	K11904
PFUNG_02695	K11913
PFUNG_02696	K11906
PFUNG_02697	K11893
PFUNG_02698	K11892
PFUNG_02699	K11891
PFUNG_02700	K11890
PFUNG_02701	K20074
PFUNG_02702	K07085
PFUNG_02705	K07516
PFUNG_02710	K05874
PFUNG_02711	K03406
PFUNG_02716	K17468
PFUNG_02718	K03299
PFUNG_02721	K15514
PFUNG_02723	K15546
PFUNG_02724	K15513
PFUNG_02725	K15512
PFUNG_02726	K15511
PFUNG_02727	K09017
PFUNG_02728	K06016
PFUNG_02729	K17722
PFUNG_02730	K17723
PFUNG_02731	K03457
PFUNG_02732	K01464
PFUNG_02733	K02424
PFUNG_02734	K10009
PFUNG_02735	K10010
PFUNG_02736	K01649
PFUNG_02743	K07287
PFUNG_02746	K03303
PFUNG_02748	K04062
PFUNG_02749	K03147
PFUNG_02750	K06140
PFUNG_02756	K00219
PFUNG_02758	K16348
PFUNG_02762	K03594
PFUNG_02763	K07689
PFUNG_02768	K03651
PFUNG_02769	K02052
PFUNG_02770	K02053
PFUNG_02771	K02053
PFUNG_02772	K02055
PFUNG_02777	K14986
PFUNG_02781	K03585
PFUNG_02782	K18138
PFUNG_02783	K18139
PFUNG_02784	K03808
PFUNG_02785	K06192
PFUNG_02786	K09857
PFUNG_02788	K04090
PFUNG_02790	K17725
PFUNG_02791	K24158
PFUNG_02803	K07043
PFUNG_02807	K07335
PFUNG_02816	K11312
PFUNG_02820	K07095
PFUNG_02821	K03762
PFUNG_02823	K14682
PFUNG_02824	K03578
PFUNG_02825	K21449
PFUNG_02831	K01915
PFUNG_02832	K07708
PFUNG_02833	K07712
PFUNG_02834	K01322
PFUNG_02835	K01142
PFUNG_02838	K01779
PFUNG_02839	K01485
PFUNG_02840	K01414
PFUNG_02841	K01491
PFUNG_02846	K00163
PFUNG_02847	K00627
PFUNG_02848	K00382
PFUNG_02852	K07262
PFUNG_02854	K18928
PFUNG_02855	K18929
PFUNG_02858	K01104
PFUNG_02860	K13643
PFUNG_02861	K04487
PFUNG_02862	K04488
PFUNG_02863	K13628
PFUNG_02864	K04082
PFUNG_02865	K04044
PFUNG_02866	K04755
PFUNG_02869	K04567
PFUNG_02870	K02836
PFUNG_02871	K07462
PFUNG_02874	K09808
PFUNG_02875	K09810
PFUNG_02876	K03424
PFUNG_02877	K02238
PFUNG_02879	K01937
PFUNG_02880	K01627
PFUNG_02881	K01689
PFUNG_02882	K05589
PFUNG_02884	K04083
PFUNG_02888	K07053
PFUNG_02891	K01867
PFUNG_02893	K01714
PFUNG_02894	K07287
PFUNG_02896	K19416
PFUNG_02897	K00940
PFUNG_02898	K06941
PFUNG_02899	K15539
PFUNG_02900	K03526
PFUNG_02901	K01892
PFUNG_02903	K17713
PFUNG_02904	K03977
PFUNG_02905	K03666
PFUNG_02906	K03665
PFUNG_02907	K04088
PFUNG_02908	K04087
PFUNG_02909	K09937
PFUNG_02910	K02502
PFUNG_02911	K01939
PFUNG_02912	K07101
PFUNG_02913	K03549
PFUNG_02914	K06959
PFUNG_02917	K03722
PFUNG_02919	K18850
PFUNG_02920	K03775
PFUNG_02922	K03555
PFUNG_02929	K03657
PFUNG_02930	K07459
PFUNG_02953	K03497
PFUNG_02977	K08227
PFUNG_02978	K01092
PFUNG_02979	K02533
PFUNG_02980	K00640
PFUNG_02981	K03269
PFUNG_02982	K03768
PFUNG_02983	K03767
PFUNG_02985	K01883
PFUNG_02986	K01247
PFUNG_02987	K01962
PFUNG_02988	K04075
PFUNG_02989	K00928
PFUNG_03003	K07486
PFUNG_03018	K17228
PFUNG_03021	K15866
PFUNG_03022	K07068
PFUNG_03025	K01912
PFUNG_03027	K01796
PFUNG_03034	K07484
PFUNG_03036	K01647
PFUNG_03037	K01999
PFUNG_03038	K01997
PFUNG_03038	K01998
PFUNG_03039	K01995
PFUNG_03040	K01996
PFUNG_03041	K00130
PFUNG_03044	K04102
PFUNG_03045	K18067
PFUNG_03046	K04755
PFUNG_03047	K00529
PFUNG_03049	K09780
PFUNG_03050	K14585
PFUNG_03053	K00450
PFUNG_03054	K01714
PFUNG_03057	K19244
PFUNG_03059	K14581
PFUNG_03060	K00450
PFUNG_03061	K16165
PFUNG_03062	K18242
PFUNG_03063	K18243
PFUNG_03064	K14578
PFUNG_03069	K14585
PFUNG_03071	K04101
PFUNG_03072	K14584
PFUNG_03073	K14579
PFUNG_03075	K05711
PFUNG_03076	K07275
PFUNG_03081	K00355
PFUNG_03082	K19333
PFUNG_03101	K00847
PFUNG_03102	K09935
PFUNG_03106	K01187
PFUNG_03107	K08191
PFUNG_03110	K13893
PFUNG_03111	K13894
PFUNG_03112	K13895
PFUNG_03113	K13896
PFUNG_03115	K07001
PFUNG_03116	K01885
PFUNG_03124	K02553
PFUNG_03126	K01638
PFUNG_03127	K01560
PFUNG_03130	K01637
PFUNG_03133	K14742
PFUNG_03134	K03789
PFUNG_03135	K21929
PFUNG_03136	K09977
PFUNG_03137	K00941
PFUNG_03138	K08227
PFUNG_03139	K01775
PFUNG_03140	K04485
PFUNG_03142	K01796
PFUNG_03143	K06158
PFUNG_03144	K00432
PFUNG_03145	K06131
PFUNG_03146	K07320
PFUNG_03147	K01439
PFUNG_03149	K00674
PFUNG_03150	K14267
PFUNG_03153	K03529
PFUNG_03155	K01972
PFUNG_03156	K01462
PFUNG_03159	K00990
PFUNG_03160	K01265
PFUNG_03161	K02967
PFUNG_03162	K02357
PFUNG_03163	K09903
PFUNG_03164	K02838
PFUNG_03165	K00806
PFUNG_03166	K00981
PFUNG_03167	K00099
PFUNG_03168	K11749
PFUNG_03169	K07277
PFUNG_03170	K06142
PFUNG_03171	K02536
PFUNG_03172	K02372
PFUNG_03173	K00677
PFUNG_03174	K00748
PFUNG_03175	K03470
PFUNG_03176	K03437
PFUNG_03177	K09773
PFUNG_03178	K01007
PFUNG_03181	K03664
PFUNG_03183	K09801
PFUNG_03185	K00088
PFUNG_03187	K01951
PFUNG_03188	K09022
PFUNG_03192	K03701
PFUNG_03193	K05799
PFUNG_03194	K15736
PFUNG_03199	K13877
PFUNG_03200	K05874
PFUNG_03202	K19338
PFUNG_03203	K16874
PFUNG_03204	K03186
PFUNG_03205	K16877
PFUNG_03206	K16878
PFUNG_03207	K16879
PFUNG_03208	K16876
PFUNG_03209	K16880
PFUNG_03210	K16873
PFUNG_03211	K03762
PFUNG_03217	K14657
PFUNG_03221	K12960
PFUNG_03222	K01066
PFUNG_03226	K01486
PFUNG_03227	K07149
PFUNG_03235	K00249
PFUNG_03237	K01975
PFUNG_03239	K11991
PFUNG_03240	K01297
PFUNG_03242	K03457
PFUNG_03243	K16841
PFUNG_03244	K16842
PFUNG_03245	K13485
PFUNG_03246	K01477
PFUNG_03247	K01483
PFUNG_03250	K07127
PFUNG_03253	K23537
PFUNG_03254	K23535
PFUNG_03255	K23536
PFUNG_03256	K07335
PFUNG_03257	K09165
PFUNG_03260	K00459
PFUNG_03261	K07275
PFUNG_03262	K06938
PFUNG_03264	K11073
PFUNG_03265	K11076
PFUNG_03266	K11075
PFUNG_03267	K11074
PFUNG_03269	K07497
PFUNG_03271	K03406
PFUNG_03274	K22105
PFUNG_03276	K03969
PFUNG_03278	K05366
PFUNG_03279	K02517
PFUNG_03281	K18303
PFUNG_03282	K18302
PFUNG_03291	K03281
PFUNG_03292	K00799
PFUNG_03296	K00874
PFUNG_03298	K00090
PFUNG_03299	K02525
PFUNG_03308	K00424
PFUNG_03310	K03284
PFUNG_03311	K10439
PFUNG_03312	K02529
PFUNG_03313	K05874
PFUNG_03314	K02554
PFUNG_03315	K07180
PFUNG_03316	K09786
PFUNG_03317	K06415
PFUNG_03320	K03761
PFUNG_03322	K02030
PFUNG_03323	K02029
PFUNG_03324	K02029
PFUNG_03326	K02051
PFUNG_03328	K02049
PFUNG_03329	K02050
PFUNG_03332	K07497
PFUNG_03333	K09694
PFUNG_03334	K09695
PFUNG_03338	K01356
PFUNG_03339	K23163
PFUNG_03340	K02046
PFUNG_03341	K02047
PFUNG_03342	K02045
PFUNG_03343	K13635
PFUNG_03344	K01424
PFUNG_03346	K00042
PFUNG_03347	K01816
PFUNG_03348	K01608
PFUNG_03352	K02990
PFUNG_03353	K02686
PFUNG_03354	K02963
PFUNG_03355	K02939
PFUNG_03356	K02314
PFUNG_03357	K07220
PFUNG_03358	K03306
PFUNG_03361	K07175
PFUNG_03362	K03564
PFUNG_03363	K13014
PFUNG_03364	K10011
PFUNG_03365	K00604
PFUNG_03366	K10012
PFUNG_03367	K07806
PFUNG_03371	K14260
PFUNG_03372	K00003
PFUNG_03373	K01733
PFUNG_03374	K03750
PFUNG_03375	K03636
PFUNG_03376	K03635
PFUNG_03377	K06886
PFUNG_03378	K13771
PFUNG_03379	K03695
PFUNG_03381	K02237
PFUNG_03383	K01607
PFUNG_03384	K03327
PFUNG_03386	K02909
PFUNG_03387	K09933
PFUNG_03390	K03628
PFUNG_03391	K03671
PFUNG_03392	K02343
PFUNG_03393	K09747
PFUNG_03394	K06187
PFUNG_03396	K02051
PFUNG_03397	K02049
PFUNG_03398	K02050
PFUNG_03399	K00344
PFUNG_03400	K03787
PFUNG_03401	K00573
PFUNG_03402	K06194
PFUNG_03403	K03087
PFUNG_03404	K07501
PFUNG_03405	K03215
PFUNG_03406	K05807
PFUNG_03407	K06180
PFUNG_03408	K05810
PFUNG_03410	K00626
PFUNG_03411	K00023
PFUNG_03417	K07733
PFUNG_03435	K05541
PFUNG_03436	K14441
PFUNG_03437	K00874
PFUNG_03438	K00626
PFUNG_03440	K01760
PFUNG_03443	K01079
PFUNG_03445	K10979
PFUNG_03446	K01971
PFUNG_03449	K00344
PFUNG_03451	K02069
PFUNG_03452	K02068
PFUNG_03453	K07290
PFUNG_03458	K03282
PFUNG_03459	K01754
PFUNG_03460	K01438
PFUNG_03461	K03723
PFUNG_03462	K00991
PFUNG_03463	K01770
PFUNG_03464	K24126
PFUNG_03465	K07638
PFUNG_03466	K07659
PFUNG_03469	K02291
PFUNG_03475	K00865
PFUNG_03476	K03545
PFUNG_03477	K01358
PFUNG_03478	K03544
PFUNG_03479	K01338
PFUNG_03480	K03530
PFUNG_03482	K03560
PFUNG_03483	K03561
PFUNG_03484	K03832
PFUNG_03486	K00138
PFUNG_03487	K00114
PFUNG_03489	K06139
PFUNG_03490	K06138
PFUNG_03491	K06137
PFUNG_03492	K06136
PFUNG_03493	K21405
PFUNG_03497	K08738
PFUNG_03499	K13953
PFUNG_03500	K01420
PFUNG_03507	K10254
PFUNG_03508	K07240
PFUNG_03511	K07034
PFUNG_03512	K01895
PFUNG_03513	K07576
PFUNG_03522	K18369
PFUNG_03523	K13993
PFUNG_03526	K03770
PFUNG_03528	K10804
PFUNG_03529	K02003
PFUNG_03530	K01810
PFUNG_03531	K23997
PFUNG_03532	K00285
PFUNG_03533	K01952
PFUNG_03535	K07154
PFUNG_03536	K03769
PFUNG_03537	K05527
PFUNG_03538	K06190
PFUNG_03539	K07305
PFUNG_03540	K08997
PFUNG_03541	K20034
PFUNG_03542	K07516
PFUNG_03543	K00626
PFUNG_03547	K23256
PFUNG_03549	K01066
PFUNG_03551	K06980
PFUNG_03552	K07082
PFUNG_03553	K00943
PFUNG_03554	K02341
PFUNG_03556	K03424
PFUNG_03557	K06867
PFUNG_03559	K00697
PFUNG_03565	K09780
PFUNG_03567	K16011
PFUNG_03568	K03606
PFUNG_03569	K00012
PFUNG_03570	K01104
PFUNG_03571	K01991
PFUNG_03572	K16692
PFUNG_03578	K22468
PFUNG_03579	K09794
PFUNG_03580	K01711
PFUNG_03592	K00963
PFUNG_03593	K01638
PFUNG_03594	K11477
PFUNG_03595	K11473
PFUNG_03596	K11472
PFUNG_03597	K00104
PFUNG_03598	K11474
PFUNG_03599	K07140
PFUNG_03602	K00362
PFUNG_03603	K00363
PFUNG_03604	K00380
PFUNG_03605	K02575
PFUNG_03609	K07248
PFUNG_03611	K01684
PFUNG_03612	K00108
PFUNG_03613	K03566
PFUNG_03615	K00146
PFUNG_03617	K00276
PFUNG_03622	K00598
PFUNG_03625	K01845
PFUNG_03626	K01915
PFUNG_03628	K12251
PFUNG_03630	K00799
PFUNG_03632	K00209
PFUNG_03634	K05366
PFUNG_03644	K02483
PFUNG_03647	K04063
PFUNG_03659	K02051
PFUNG_03660	K02050
PFUNG_03661	K02049
PFUNG_03662	K09967
PFUNG_03663	K09967
PFUNG_03665	K01941
PFUNG_03666	K01457
PFUNG_03667	K07799
PFUNG_03668	K07788
PFUNG_03669	K07789
PFUNG_03673	K00433
PFUNG_03674	K07241
PFUNG_03677	K07156
PFUNG_03678	K03782
PFUNG_03679	K00573
PFUNG_03682	K15315
PFUNG_03693	K06988
PFUNG_03699	K00799
PFUNG_03702	K07335
PFUNG_03706	K03430
PFUNG_03707	K21703
PFUNG_03708	K00059
PFUNG_03715	K03863
PFUNG_03716	K03464
PFUNG_03717	K03381
PFUNG_03718	K01856
PFUNG_03719	K21757
PFUNG_03724	K14986
PFUNG_03725	K22027
PFUNG_03728	K01426
PFUNG_03729	K00059
PFUNG_03731	K00484
