PTERE_00001	K02313
PTERE_01979	K01458
PTERE_01980	K05603
PTERE_01981	K01468
PTERE_01982	K09975
PTERE_01983	K01712
PTERE_01984	K05836
PTERE_01985	K01745
PTERE_01990	K06901
PTERE_01993	K03762
PTERE_01994	K01451
PTERE_01995	K14057
PTERE_01996	K00128
PTERE_01997	K06995
PTERE_02000	K21703
PTERE_02001	K03885
PTERE_02002	K05596
PTERE_02003	K06895
PTERE_02004	K21006
PTERE_02005	K21012
PTERE_02006	K21011
PTERE_02007	K21010
PTERE_02008	K21009
PTERE_02009	K21008
PTERE_02010	K21007
PTERE_02011	K21006
PTERE_02019	K11939
PTERE_02022	K00163
PTERE_02023	K03719
PTERE_02024	K01895
PTERE_02025	K07507
PTERE_02029	K11616
PTERE_02030	K02106
PTERE_02031	K18982
PTERE_02033	K01644
PTERE_02035	K07326
PTERE_02037	K15125
PTERE_02039	K14393
PTERE_02041	K01895
PTERE_02045	K01676
PTERE_02046	K03594
PTERE_02047	K01776
PTERE_02048	K02192
PTERE_02049	K03832
PTERE_02050	K03561
PTERE_02051	K03559
PTERE_02053	K06911
PTERE_02054	K07397
PTERE_02057	K11477
PTERE_02059	K07243
PTERE_02061	K07230
PTERE_02062	K03702
PTERE_02063	K00832
PTERE_02064	K07001
PTERE_02065	K00019
PTERE_02067	K07115
PTERE_02068	K02051
PTERE_02071	K19591
PTERE_02072	K07213
PTERE_02073	K00789
PTERE_02074	K14162
PTERE_02075	K14161
PTERE_02088	K09861
PTERE_02090	K14287
PTERE_02091	K00799
PTERE_02092	K00074
PTERE_02093	K15866
PTERE_02096	K00249
PTERE_02098	K11209
PTERE_02104	K01515
PTERE_02106	K00343
PTERE_02107	K00342
PTERE_02108	K00341
PTERE_02109	K00340
PTERE_02110	K00339
PTERE_02111	K00338
PTERE_02112	K00337
PTERE_02113	K00336
PTERE_02114	K00335
PTERE_02115	K00334
PTERE_02116	K00333
PTERE_02117	K00332
PTERE_02118	K00331
PTERE_02119	K00330
PTERE_02121	K03075
PTERE_02122	K01803
PTERE_02123	K00344
PTERE_02124	K00962
PTERE_02125	K02956
PTERE_02126	K01999
PTERE_02128	K01649
PTERE_02129	K07493
PTERE_02130	K17103
PTERE_02131	K01613
PTERE_02132	K00053
PTERE_02133	K01653
PTERE_02134	K01652
PTERE_02142	K00901
PTERE_02147	K07050
PTERE_02148	K06886
PTERE_02149	K02004
PTERE_02151	K11741
PTERE_02152	K07667
PTERE_02153	K07646
PTERE_02154	K01548
PTERE_02155	K01547
PTERE_02156	K01546
PTERE_02159	K00344
PTERE_02160	K01734
PTERE_02161	K00059
PTERE_02162	K00761
PTERE_02165	K01945
PTERE_02166	K00228
PTERE_02167	K00969
PTERE_02168	K09710
PTERE_02169	K00783
PTERE_02170	K06287
PTERE_02171	K08301
PTERE_02177	K02847
PTERE_02179	K11085
PTERE_02180	K12984
PTERE_02181	K02337
PTERE_02182	K07146
PTERE_02183	K01894
PTERE_02184	K11927
PTERE_02186	K01652
PTERE_02189	K08289
PTERE_02191	K03466
PTERE_02192	K07404
PTERE_02196	K05973
PTERE_02198	K03616
PTERE_02199	K10773
PTERE_02204	K09989
PTERE_02205	K05782
PTERE_02206	K00616
PTERE_02207	K04750
PTERE_02209	K03307
PTERE_02213	K03181
PTERE_02215	K04079
PTERE_02219	K05825
PTERE_02223	K07240
PTERE_02225	K02621
PTERE_02226	K02622
PTERE_02227	K15738
PTERE_02235	K00558
PTERE_02236	K07458
PTERE_02238	K08169
PTERE_02240	K00697
PTERE_02249	K02049
PTERE_02250	K02050
PTERE_02253	K07638
PTERE_02254	K07659
PTERE_02255	K06006
PTERE_02256	K06911
PTERE_02258	K10016
PTERE_02259	K10015
PTERE_02260	K10017
PTERE_02262	K04751
PTERE_02263	K01950
PTERE_02264	K09919
PTERE_02265	K07461
PTERE_02266	K03746
PTERE_02267	K01507
PTERE_02268	K00128
PTERE_02269	K00059
PTERE_02271	K02498
PTERE_02272	K13543
PTERE_02273	K01749
PTERE_02274	K01595
PTERE_02277	K01755
PTERE_02278	K08994
PTERE_02283	K01584
PTERE_02284	K01494
PTERE_02285	K04565
PTERE_02286	K03593
PTERE_02288	K01874
PTERE_02290	K09800
PTERE_02291	K07278
PTERE_02293	K05896
PTERE_02294	K01918
PTERE_02295	K01579
PTERE_02296	K03496
PTERE_02297	K19222
PTERE_02299	K15977
PTERE_02300	K02232
PTERE_02301	K02231
PTERE_02302	K02227
PTERE_02303	K02225
PTERE_02304	K02016
PTERE_02305	K02226
PTERE_02306	K02233
PTERE_02307	K00768
PTERE_02308	K02013
PTERE_02309	K02015
PTERE_02310	K16092
PTERE_02313	K09888
PTERE_02316	K13292
PTERE_02318	K01687
PTERE_02319	K08738
PTERE_02321	K02339
PTERE_02322	K01255
PTERE_02323	K07091
PTERE_02324	K11720
PTERE_02325	K17836
PTERE_02326	K02303
PTERE_02327	K00956
PTERE_02328	K00957
PTERE_02329	K00390
PTERE_02331	K00381
PTERE_02332	K13634
PTERE_02333	K01999
PTERE_02338	K10439
PTERE_02340	K10440
PTERE_02341	K10441
PTERE_02342	K05499
PTERE_02343	K00573
PTERE_02348	K11959
PTERE_02349	K11960
PTERE_02350	K11961
PTERE_02351	K11962
PTERE_02352	K11963
PTERE_02353	K03190
PTERE_02354	K02030
PTERE_02355	K01430
PTERE_02356	K01429
PTERE_02357	K01428
PTERE_02358	K03187
PTERE_02359	K03188
PTERE_02360	K03189
PTERE_02361	K02527
PTERE_02363	K02841
PTERE_02369	K07486
PTERE_02370	K06893
PTERE_02376	K06140
PTERE_02382	K15778
PTERE_02386	K01784
PTERE_02387	K16011
PTERE_02401	K13525
PTERE_02403	K05874
PTERE_02408	K01784
PTERE_02409	K12994
PTERE_02411	K16011
PTERE_02412	K12995
PTERE_02415	K01709
PTERE_02417	K20534
PTERE_02418	K00978
PTERE_02419	K07027
PTERE_02423	K12993
PTERE_02424	K18827
PTERE_02425	K09691
PTERE_02426	K22252
PTERE_02427	K01711
PTERE_02428	K09690
PTERE_02429	K00067
PTERE_02430	K01790
PTERE_02431	K00973
PTERE_02432	K01710
PTERE_02433	K01525
PTERE_02434	K00655
PTERE_02435	K01465
PTERE_02436	K00609
PTERE_02437	K02825
PTERE_02438	K07447
PTERE_02439	K07735
PTERE_02442	K00941
PTERE_02443	K04077
PTERE_02444	K04078
PTERE_02447	K02575
PTERE_02449	K10544
PTERE_02450	K10545
PTERE_02451	K10543
PTERE_02452	K01805
PTERE_02453	K02529
PTERE_02454	K01785
PTERE_02455	K09939
PTERE_02457	K16137
PTERE_02459	K02026
PTERE_02460	K02025
PTERE_02461	K02027
PTERE_02462	K12308
PTERE_02463	K10111
PTERE_02465	K22491
PTERE_02468	K03098
PTERE_02471	K00886
PTERE_02472	K00036
PTERE_02475	K07638
PTERE_02476	K07659
PTERE_02479	K03594
PTERE_02481	K03585
PTERE_02482	K18138
PTERE_02484	K05786
PTERE_02485	K07090
PTERE_02487	K07518
PTERE_02495	K07402
PTERE_02496	K13482
PTERE_02497	K13481
PTERE_02499	K00830
PTERE_02500	K09758
PTERE_02501	K07085
PTERE_02502	K07085
PTERE_02504	K03778
PTERE_02506	K01692
PTERE_02507	K19577
PTERE_02509	K01555
PTERE_02510	K00451
PTERE_02511	K08195
PTERE_02514	K00252
PTERE_02515	K24158
PTERE_02519	K02655
PTERE_02521	K02672
PTERE_02522	K02671
PTERE_02523	K08084
PTERE_02524	K07738
PTERE_02525	K00600
PTERE_02526	K16066
PTERE_02527	K07107
PTERE_02528	K03562
PTERE_02529	K03560
PTERE_02530	K03646
PTERE_02531	K03641
PTERE_02532	K03640
PTERE_02544	K03818
PTERE_02546	K03208
PTERE_02548	K02377
PTERE_02549	K01711
PTERE_02550	K16692
PTERE_02551	K01991
PTERE_02552	K03606
PTERE_02553	K16011
PTERE_02557	K03207
PTERE_02558	K00963
PTERE_02562	K03442
PTERE_02563	K03975
PTERE_02564	K03572
PTERE_02565	K00791
PTERE_02566	K01933
PTERE_02568	K10763
PTERE_02570	K00970
PTERE_02571	K00950
PTERE_02572	K15518
PTERE_02573	K00606
PTERE_02575	K03342
PTERE_02576	K03686
PTERE_02577	K04043
PTERE_02579	K03687
PTERE_02580	K04762
PTERE_02581	K01772
PTERE_02582	K03705
PTERE_02583	K00858
PTERE_02584	K03631
PTERE_02585	K00982
PTERE_02587	K11206
PTERE_02588	K03568
PTERE_02589	K01626
PTERE_02592	K00798
PTERE_02593	K00102
PTERE_02594	K00104
PTERE_02595	K11472
PTERE_02596	K11473
PTERE_02597	K06997
PTERE_02598	K00286
PTERE_02599	K03179
PTERE_02600	K04047
PTERE_02602	K03781
PTERE_02604	K04761
PTERE_02605	K03655
PTERE_02606	K07568
PTERE_02607	K00773
PTERE_02608	K03210
PTERE_02609	K03072
PTERE_02610	K03074
PTERE_02611	K03762
PTERE_02615	K03808
PTERE_02616	K03808
PTERE_02617	K06192
PTERE_02618	K09857
PTERE_02619	K07444
PTERE_02622	K00325
PTERE_02623	K00324
PTERE_02624	K00324
PTERE_02626	K00566
PTERE_02628	K07387
PTERE_02629	K00799
PTERE_02630	K01262
PTERE_02631	K03185
PTERE_02632	K05540
PTERE_02633	K03557
PTERE_02634	K00602
PTERE_02635	K01159
PTERE_02637	K03550
PTERE_02638	K03551
PTERE_02639	K15634
PTERE_02640	K07560
PTERE_02641	K01866
PTERE_02642	K09001
PTERE_02643	K15724
PTERE_02644	K02996
PTERE_02645	K02871
PTERE_02646	K07397
PTERE_02648	K01465
PTERE_02651	K10004
PTERE_02652	K10002
PTERE_02653	K10003
PTERE_02654	K10001
PTERE_02655	K00261
PTERE_02656	K21645
PTERE_02657	K01756
PTERE_02658	K00851
PTERE_02659	K03299
PTERE_02660	K01625
PTERE_02661	K01690
PTERE_02662	K19337
PTERE_02664	K08973
PTERE_02665	K00147
PTERE_02666	K02340
PTERE_02667	K03643
PTERE_02668	K01869
PTERE_02669	K03559
PTERE_02670	K03561
PTERE_02671	K00215
PTERE_02672	K06186
PTERE_02673	K03711
PTERE_02674	K01483
PTERE_02675	K01477
PTERE_02676	K11103
PTERE_02677	K05799
PTERE_02678	K00134
PTERE_02679	K00615
PTERE_02681	K09761
PTERE_02683	K01167
PTERE_02684	K00029
PTERE_02685	K00946
PTERE_02686	K01095
PTERE_02687	K03743
PTERE_02688	K09705
PTERE_02689	K01591
PTERE_02690	K01785
PTERE_02691	K13874
PTERE_02692	K22185
PTERE_02693	K10538
PTERE_02694	K10539
PTERE_02695	K10537
PTERE_02697	K01631
PTERE_02698	K00883
PTERE_02701	K03814
PTERE_02702	K00014
PTERE_02703	K01147
PTERE_02704	K07000
PTERE_02705	K02558
PTERE_02708	K03786
PTERE_02709	K02160
PTERE_02710	K01961
PTERE_02711	K02687
PTERE_02713	K11065
PTERE_02714	K00856
PTERE_02715	K06077
PTERE_02718	K00526
PTERE_02719	K00525
PTERE_02720	K03806
PTERE_02723	K03106
PTERE_02724	K00760
PTERE_02726	K01881
PTERE_02727	K08311
PTERE_02729	K00931
PTERE_02730	K03979
PTERE_02731	K02899
PTERE_02732	K02888
PTERE_02733	K02523
PTERE_02736	K02652
PTERE_02737	K02653
PTERE_02738	K02654
PTERE_02739	K00859
PTERE_02740	K18778
PTERE_02741	K09862
PTERE_02742	K03574
PTERE_02743	K06923
PTERE_02744	K00620
PTERE_02745	K03070
PTERE_02747	K02535
PTERE_02748	K24138
PTERE_02749	K03531
PTERE_02750	K03590
PTERE_02751	K03589
PTERE_02752	K01921
PTERE_02753	K01924
PTERE_02754	K02563
PTERE_02755	K03588
PTERE_02756	K01925
PTERE_02757	K01000
PTERE_02758	K01929
PTERE_02759	K01928
PTERE_02760	K03587
PTERE_02761	K03586
PTERE_02762	K03438
PTERE_02763	K03925
PTERE_02764	K06134
PTERE_02766	K01897
PTERE_02774	K01692
PTERE_02776	K00632
PTERE_02777	K15866
PTERE_02778	K02614
PTERE_02779	K01912
PTERE_02780	K08304
PTERE_02782	K06195
PTERE_02783	K01783
PTERE_02784	K01091
PTERE_02785	K01657
PTERE_02786	K01658
PTERE_02787	K00766
PTERE_02788	K01609
PTERE_02789	K18446
PTERE_02790	K03648
PTERE_02791	K01118
PTERE_02793	K03981
PTERE_02794	K18800
PTERE_02795	K06942
PTERE_02796	K05813
PTERE_02797	K05814
PTERE_02798	K05815
PTERE_02799	K05816
PTERE_02800	K06020
PTERE_02802	K01560
PTERE_02804	K01262
PTERE_02807	K02492
PTERE_02808	K02835
PTERE_02809	K02493
PTERE_02810	K07390
PTERE_02811	K03186
PTERE_02812	K15777
PTERE_02814	K03704
PTERE_02815	K04046
PTERE_02820	K09941
PTERE_02823	K01685
PTERE_02828	K03600
PTERE_02829	K03599
PTERE_02830	K00413
PTERE_02831	K00412
PTERE_02832	K00411
PTERE_02834	K04772
PTERE_02835	K03118
PTERE_02836	K03117
PTERE_02837	K03116
PTERE_02838	K02503
PTERE_02840	K01523
PTERE_02841	K01496
PTERE_02842	K02500
PTERE_02843	K01814
PTERE_02844	K02501
PTERE_02845	K05595
PTERE_02846	K01693
PTERE_02847	K00817
PTERE_02848	K00013
PTERE_02849	K00765
PTERE_02850	K00790
PTERE_02852	K01992
PTERE_02853	K01990
PTERE_02854	K07122
PTERE_02855	K07323
PTERE_02856	K04754
PTERE_02857	K02067
PTERE_02858	K02066
PTERE_02859	K02065
PTERE_02860	K00788
PTERE_02861	K03149
PTERE_02862	K03154
PTERE_02864	K02471
PTERE_02865	K00059
PTERE_02868	K07659
PTERE_02870	K02393
PTERE_02874	K07659
PTERE_02875	K07638
PTERE_02876	K01104
PTERE_02878	K00285
PTERE_02879	K01975
PTERE_02880	K00266
PTERE_02881	K00265
PTERE_02882	K07491
PTERE_02883	K07275
PTERE_02885	K01129
PTERE_02886	K01735
PTERE_02887	K00891
PTERE_02888	K02666
PTERE_02890	K02663
PTERE_02891	K02662
PTERE_02892	K05366
PTERE_02893	K06202
PTERE_02895	K01586
PTERE_02896	K17247
PTERE_02897	K07147
PTERE_02899	K07399
PTERE_02901	K03978
PTERE_02902	K01698
PTERE_02903	K04084
PTERE_02904	K03926
PTERE_02905	K02879
PTERE_02906	K03040
PTERE_02907	K02986
PTERE_02908	K02948
PTERE_02909	K02952
PTERE_02910	K02919
PTERE_02911	K02518
PTERE_02912	K03076
PTERE_02913	K02876
PTERE_02914	K02907
PTERE_02915	K02988
PTERE_02916	K02881
PTERE_02917	K02933
PTERE_02918	K02994
PTERE_02919	K02954
PTERE_02920	K02931
PTERE_02921	K02895
PTERE_02922	K02874
PTERE_02923	K02961
PTERE_02924	K02904
PTERE_02925	K02878
PTERE_02926	K02982
PTERE_02927	K02890
PTERE_02928	K02965
PTERE_02929	K02886
PTERE_02930	K02892
PTERE_02931	K02926
PTERE_02932	K02906
PTERE_02933	K02946
PTERE_02934	K02358
PTERE_02935	K02355
PTERE_02936	K02992
PTERE_02937	K02950
PTERE_02938	K03654
PTERE_02939	K03046
PTERE_02940	K03043
PTERE_02941	K02935
PTERE_02942	K02864
PTERE_02943	K02863
PTERE_02944	K02867
PTERE_02945	K02601
PTERE_02946	K03073
PTERE_02948	K02358
PTERE_02958	K02609
PTERE_02959	K02610
PTERE_02960	K02611
PTERE_02961	K02612
PTERE_02962	K02613
PTERE_02966	K03719
PTERE_02967	K00457
PTERE_02969	K04090
PTERE_02970	K00029
PTERE_02972	K00762
PTERE_02973	K07687
PTERE_02975	K03809
PTERE_02976	K00145
PTERE_02979	K07275
PTERE_02984	K09122
PTERE_02997	K00820
PTERE_02998	K04042
PTERE_02999	K14058
PTERE_03000	K01633
PTERE_03005	K00974
PTERE_03006	K00799
PTERE_03008	K08309
PTERE_03011	K23123
PTERE_03012	K23124
PTERE_03013	K07160
PTERE_03017	K09973
PTERE_03018	K12372
PTERE_03019	K12371
PTERE_03020	K12370
PTERE_03021	K12369
PTERE_03022	K12368
PTERE_03023	K12368
PTERE_03024	K00297
PTERE_03025	K08972
PTERE_03026	K01251
PTERE_03029	K06518
PTERE_03033	K09456
PTERE_03034	K00154
PTERE_03035	K04061
PTERE_03037	K02423
PTERE_03038	K02422
PTERE_03039	K02408
PTERE_03040	K02409
PTERE_03041	K02410
PTERE_03042	K02411
PTERE_03043	K02412
PTERE_03044	K02413
PTERE_03045	K02414
PTERE_03046	K02415
PTERE_03047	K02416
PTERE_03048	K02417
PTERE_03049	K02418
PTERE_03050	K02419
PTERE_03051	K02420
PTERE_03052	K02421
PTERE_03053	K02397
PTERE_03054	K02396
PTERE_03055	K21087
PTERE_03056	K02395
PTERE_03057	K02394
PTERE_03058	K02393
PTERE_03059	K02392
PTERE_03060	K02391
PTERE_03061	K02390
PTERE_03062	K02389
PTERE_03063	K02388
PTERE_03064	K02387
PTERE_03065	K02386
PTERE_03066	K02398
PTERE_03067	K02399
PTERE_03068	K02405
PTERE_03069	K04562
PTERE_03070	K02404
PTERE_03071	K02400
PTERE_03072	K02401
PTERE_03075	K03414
PTERE_03076	K03413
PTERE_03077	K03412
PTERE_03078	K03411
PTERE_03079	K00575
PTERE_03080	K05874
PTERE_03081	K03408
PTERE_03082	K03407
PTERE_03083	K03413
PTERE_03084	K02557
PTERE_03085	K02556
PTERE_03086	K02402
PTERE_03087	K02403
PTERE_03089	K03746
PTERE_03090	K06188
PTERE_03093	K18676
PTERE_03094	K01246
PTERE_03096	K02970
PTERE_03098	K02406
PTERE_03099	K02407
PTERE_03101	K09667
PTERE_03102	K09667
PTERE_03104	K08678
PTERE_03105	K09667
PTERE_03106	K09667
PTERE_03113	K03656
PTERE_03116	K00605
PTERE_03117	K02437
PTERE_03118	K00281
PTERE_03122	K15899
PTERE_03124	K15894
PTERE_03128	K01752
PTERE_03129	K01652
PTERE_03130	K01999
PTERE_03131	K13821
PTERE_03134	K04066
PTERE_03135	K01599
PTERE_03136	K01713
PTERE_03137	K00666
PTERE_03138	K02114
PTERE_03139	K02112
PTERE_03140	K02115
PTERE_03141	K02111
PTERE_03142	K02113
PTERE_03143	K02109
PTERE_03144	K02110
PTERE_03145	K02108
PTERE_03146	K02116
PTERE_03148	K03497
PTERE_03149	K03496
PTERE_03150	K03501
PTERE_03151	K03495
PTERE_03152	K01996
PTERE_03153	K01995
PTERE_03153	K01998
PTERE_03154	K01997
PTERE_03155	K01999
PTERE_03156	K01999
PTERE_03157	K01998
PTERE_03158	K01997
PTERE_03159	K01999
PTERE_03160	K01996
PTERE_03161	K01995
PTERE_03162	K00108
PTERE_03163	K00140
PTERE_03166	K03719
PTERE_03167	K00500
PTERE_03168	K01724
PTERE_03170	K02483
PTERE_03171	K07649
PTERE_03172	K07117
PTERE_03175	K01951
PTERE_03177	K06048
PTERE_03180	K15461
PTERE_03181	K03530
PTERE_03185	K02454
PTERE_03186	K02455
PTERE_03187	K02452
PTERE_03188	K02456
PTERE_03189	K02457
PTERE_03190	K02458
PTERE_03191	K02459
PTERE_03192	K02460
PTERE_03193	K02461
PTERE_03194	K02462
PTERE_03195	K02463
PTERE_03199	K03446
PTERE_03200	K03286
PTERE_03202	K01919
PTERE_03203	K13529
PTERE_03204	K10778
PTERE_03206	K08234
PTERE_03213	K03650
PTERE_03215	K03217
PTERE_03216	K08998
PTERE_03217	K03536
PTERE_03218	K02914
PTERE_03220	K03497
PTERE_03221	K03496
PTERE_03222	K00537
PTERE_03223	K15553
PTERE_03224	K09984
PTERE_03227	K19784
PTERE_03232	K03410
PTERE_03235	K21678
PTERE_03236	K21677
PTERE_03237	K06045
PTERE_03240	K04754
PTERE_03241	K07003
PTERE_03242	K07323
PTERE_03244	K03527
PTERE_03248	K00091
PTERE_03249	K01512
PTERE_03251	K05786
PTERE_03253	K10914
PTERE_03256	K01173
PTERE_03259	K00113
PTERE_03262	K00375
PTERE_03265	K00641
PTERE_03266	K01626
PTERE_03267	K03671
PTERE_03269	K07393
PTERE_03273	K22895
PTERE_03279	K07032
PTERE_03282	K00344
PTERE_03295	K04750
PTERE_03298	K07172
PTERE_03299	K07171
PTERE_03304	K13653
PTERE_03307	K00799
PTERE_03308	K01061
PTERE_03309	K08295
PTERE_03311	K01075
PTERE_03312	K00249
PTERE_03316	K09461
PTERE_03317	K02014
PTERE_03320	K02014
PTERE_03321	K07165
PTERE_03322	K23514
PTERE_03324	K23247
PTERE_03325	K01601
PTERE_03329	K02529
PTERE_03330	K06991
PTERE_03332	K02529
PTERE_03333	K02058
PTERE_03335	K05782
PTERE_03336	K00931
PTERE_03339	K03761
PTERE_03340	K00059
PTERE_03341	K07546
PTERE_03342	K03566
PTERE_03345	K00547
PTERE_03351	K01061
PTERE_03354	K02026
PTERE_03355	K02025
PTERE_03356	K02027
PTERE_03358	K10112
PTERE_03359	K19337
PTERE_03363	K05712
PTERE_03367	K05375
PTERE_03370	K23228
PTERE_03371	K13255
PTERE_03372	K23227
PTERE_03375	K06160
PTERE_03378	K03896
PTERE_03379	K10531
PTERE_03380	K02014
PTERE_03381	K03896
PTERE_03382	K03457
PTERE_03385	K01118
PTERE_03390	K21757
PTERE_03391	K01856
PTERE_03392	K03381
PTERE_03393	K03464
PTERE_03394	K05916
PTERE_03395	K12266
PTERE_03399	K03543
PTERE_03400	K03446
PTERE_03402	K14205
PTERE_03404	K07303
PTERE_03405	K07302
PTERE_03407	K00481
PTERE_03408	K18954
PTERE_03412	K08195
PTERE_03414	K02031
PTERE_03415	K02034
PTERE_03416	K02033
PTERE_03417	K02035
PTERE_03418	K08641
PTERE_03420	K03781
PTERE_03422	K08968
PTERE_03425	K07090
PTERE_03428	K06132
PTERE_03431	K05874
PTERE_03435	K03772
PTERE_03436	K03741
PTERE_03444	K09022
PTERE_03445	K06077
PTERE_03447	K01457
PTERE_03448	K01941
PTERE_03450	K09967
PTERE_03451	K09967
PTERE_03452	K02049
PTERE_03453	K02050
PTERE_03454	K02051
PTERE_03457	K06016
PTERE_03459	K00342
PTERE_03461	K02300
PTERE_03462	K02299
PTERE_03463	K02298
PTERE_03464	K02297
PTERE_03466	K03711
PTERE_03467	K07666
PTERE_03468	K02484
PTERE_03469	K07644
PTERE_03470	K07665
PTERE_03471	K07085
PTERE_03473	K03719
PTERE_03474	K00263
PTERE_03475	K05799
PTERE_03476	K08319
PTERE_03477	K21948
PTERE_03478	K22130
PTERE_03480	K22131
PTERE_03481	K22025
PTERE_03487	K01721
PTERE_03488	K20807
PTERE_03491	K01424
PTERE_03492	K21645
PTERE_03494	K01779
PTERE_03495	K01744
PTERE_03499	K03717
PTERE_03504	K01420
PTERE_03506	K05799
PTERE_03508	K13060
PTERE_03511	K13877
PTERE_03512	K01053
PTERE_03513	K02055
PTERE_03514	K02052
PTERE_03515	K02054
PTERE_03516	K02053
PTERE_03517	K22186
PTERE_03521	K00640
PTERE_03524	K01495
PTERE_03526	K00481
PTERE_03527	K01031
PTERE_03528	K01032
PTERE_03529	K01857
PTERE_03530	K01055
PTERE_03531	K01607
PTERE_03532	K01997
PTERE_03532	K01998
PTERE_03533	K01995
PTERE_03534	K01996
PTERE_03535	K01999
PTERE_03538	K00822
PTERE_03545	K03321
PTERE_03546	K01759
PTERE_03552	K00799
PTERE_03553	K07006
PTERE_03557	K08995
PTERE_03560	K07168
PTERE_03568	K03543
PTERE_03569	K03446
PTERE_03571	K00626
PTERE_03572	K00077
PTERE_03575	K10823
PTERE_03576	K15583
PTERE_03577	K15582
PTERE_03578	K15581
PTERE_03579	K15580
PTERE_03581	K03305
PTERE_03582	K00375
PTERE_03588	K07395
PTERE_03590	K07058
PTERE_03593	K00124
PTERE_03594	K00127
PTERE_03595	K02380
PTERE_03596	K01042
PTERE_03597	K03833
PTERE_03603	K18302
PTERE_03604	K18303
PTERE_03609	K00666
PTERE_03610	K07275
PTERE_03612	K07812
PTERE_03615	K01692
PTERE_03617	K07262
PTERE_03618	K03746
PTERE_03620	K03704
PTERE_03626	K02051
PTERE_03627	K02049
PTERE_03628	K02050
PTERE_03629	K07649
PTERE_03630	K07774
PTERE_03635	K20034
PTERE_03642	K01026
PTERE_03644	K00130
PTERE_03646	K10439
PTERE_03647	K10440
PTERE_03648	K10441
PTERE_03649	K10440
PTERE_03650	K03521
PTERE_03651	K03522
PTERE_03652	K13020
PTERE_03653	K00014
PTERE_03654	K00064
PTERE_03656	K10441
PTERE_03658	K10439
PTERE_03659	K08191
PTERE_03662	K00064
PTERE_03665	K00043
PTERE_03666	K23016
PTERE_03667	K00101
PTERE_03668	K00059
PTERE_03671	K13877
PTERE_03674	K16137
PTERE_03677	K08309
PTERE_03679	K00384
PTERE_03681	K10439
PTERE_03684	K18301
PTERE_03685	K19267
PTERE_03693	K08195
PTERE_03698	K05782
PTERE_03699	K03464
PTERE_03700	K01856
PTERE_03701	K21757
PTERE_03702	K03381
PTERE_03703	K05549
PTERE_03704	K05550
PTERE_03705	K05784
PTERE_03706	K05783
PTERE_03709	K05548
PTERE_03710	K03113
PTERE_03712	K10439
PTERE_03713	K10441
PTERE_03714	K10440
PTERE_03715	K10440
PTERE_03716	K01637
PTERE_03727	K01167
PTERE_03731	K03704
PTERE_03732	K17202
PTERE_03734	K17204
PTERE_03735	K17203
PTERE_03736	K23244
PTERE_03737	K23246
PTERE_03739	K23245
PTERE_03740	K01601
PTERE_03741	K23247
PTERE_03742	K22104
PTERE_03745	K03761
PTERE_03748	K11102
PTERE_03749	K11717
PTERE_03752	K10979
PTERE_03756	K02073
PTERE_03757	K02071
PTERE_03758	K02072
PTERE_03759	K02035
PTERE_03760	K02033
PTERE_03761	K02034
PTERE_03762	K02031
PTERE_03762	K02032
PTERE_03764	K02029
PTERE_03765	K02029
PTERE_03766	K02030
PTERE_03770	K01760
PTERE_03772	K02030
PTERE_03773	K22879
PTERE_03775	K18900
PTERE_03776	K01066
PTERE_03777	K18901
PTERE_03778	K18902
PTERE_03779	K18903
PTERE_03780	K16137
PTERE_03790	K00135
PTERE_03793	K02020
PTERE_03794	K10218
PTERE_03795	K10220
PTERE_03796	K04099
PTERE_03797	K19784
PTERE_03799	K11475
PTERE_03800	K18068
PTERE_03801	K01915
PTERE_03802	K04755
PTERE_03803	K00529
PTERE_03804	K07010
PTERE_03806	K08195
PTERE_03811	K03704
PTERE_03816	K03321
PTERE_03817	K07137
PTERE_03820	K03284
PTERE_03823	K00217
PTERE_03826	K09019
PTERE_03827	K04098
PTERE_03828	K00483
PTERE_03829	K09024
PTERE_03831	K11753
PTERE_03840	K13730
PTERE_03841	K00384
PTERE_03848	K16692
PTERE_03856	K16011
PTERE_03857	K03606
PTERE_03862	K01768
PTERE_03867	K03426
PTERE_03868	K17734
PTERE_03872	K03566
PTERE_03878	K13877
PTERE_03885	K02003
PTERE_03886	K02004
PTERE_03887	K02004
PTERE_03890	K00128
PTERE_03897	K00799
PTERE_03899	K06917
PTERE_03900	K07168
PTERE_03901	K02303
PTERE_03904	K14274
PTERE_03905	K06145
PTERE_03906	K22186
PTERE_03911	K03086
PTERE_03918	K00208
PTERE_03919	K00925
PTERE_03920	K00625
PTERE_03922	K06446
PTERE_03925	K07090
PTERE_03936	K07507
PTERE_03937	K08995
PTERE_03938	K03809
PTERE_03944	K01673
PTERE_03952	K02336
PTERE_03953	K24119
PTERE_03954	K03387
PTERE_03955	K01999
PTERE_03960	K02297
PTERE_03961	K02298
PTERE_03962	K02299
PTERE_03963	K02300
PTERE_03970	K02004
PTERE_03971	K02003
PTERE_03973	K07156
PTERE_03980	K08177
PTERE_03983	K01577
PTERE_03984	K07749
PTERE_03987	K07749
PTERE_03989	K00077
PTERE_03998	K03119
PTERE_03999	K02051
PTERE_04000	K02049
PTERE_04001	K02050
PTERE_04006	K09137
PTERE_04008	K09137
PTERE_04010	K16137
PTERE_04011	K10747
PTERE_04012	K07577
PTERE_04014	K03781
PTERE_04019	K00128
