PHAYL_00001	K02313
PHAYL_01899	K03635
PHAYL_01900	K03636
PHAYL_01901	K03750
PHAYL_01902	K01733
PHAYL_01903	K00003
PHAYL_01905	K14260
PHAYL_01909	K07806
PHAYL_01910	K10012
PHAYL_01911	K00604
PHAYL_01912	K10011
PHAYL_01913	K13014
PHAYL_01914	K03564
PHAYL_01916	K07175
PHAYL_01920	K03306
PHAYL_01921	K07220
PHAYL_01922	K02314
PHAYL_01923	K02939
PHAYL_01924	K02963
PHAYL_01925	K02686
PHAYL_01926	K02990
PHAYL_01928	K01608
PHAYL_01929	K01816
PHAYL_01930	K00042
PHAYL_01932	K01424
PHAYL_01934	K13635
PHAYL_01935	K02045
PHAYL_01936	K02047
PHAYL_01937	K02046
PHAYL_01938	K23163
PHAYL_01939	K01356
PHAYL_01942	K09695
PHAYL_01943	K09694
PHAYL_01945	K07089
PHAYL_01947	K01692
PHAYL_01948	K03297
PHAYL_01952	K00684
PHAYL_01953	K21420
PHAYL_01954	K00254
PHAYL_01955	K02424
PHAYL_01956	K10009
PHAYL_01958	K01807
PHAYL_01959	K03218
PHAYL_01960	K12573
PHAYL_01969	K01897
PHAYL_01971	K03219
PHAYL_01976	K03222
PHAYL_01980	K03226
PHAYL_01981	K03227
PHAYL_01984	K03230
PHAYL_01985	K03224
PHAYL_01990	K04764
PHAYL_01991	K01890
PHAYL_01992	K01889
PHAYL_01993	K02887
PHAYL_01994	K02916
PHAYL_01995	K02520
PHAYL_01996	K01868
PHAYL_01998	K00951
PHAYL_02006	K01029
PHAYL_02007	K01028
PHAYL_02009	K07107
PHAYL_02011	K00311
PHAYL_02013	K01736
PHAYL_02017	K07058
PHAYL_02018	K03809
PHAYL_02025	K21695
PHAYL_02027	K08223
PHAYL_02028	K03666
PHAYL_02034	K12511
PHAYL_02035	K12510
PHAYL_02036	K02283
PHAYL_02037	K02282
PHAYL_02039	K02280
PHAYL_02040	K02279
PHAYL_02042	K02278
PHAYL_02043	K02651
PHAYL_02048	K06916
PHAYL_02049	K00382
PHAYL_02050	K00658
PHAYL_02051	K00164
PHAYL_02052	K06207
PHAYL_02055	K03543
PHAYL_02056	K03446
PHAYL_02057	K03177
PHAYL_02058	K02834
PHAYL_02059	K02519
PHAYL_02060	K02600
PHAYL_02061	K09748
PHAYL_02062	K06178
PHAYL_02063	K06024
PHAYL_02069	K15034
PHAYL_02070	K03581
PHAYL_02071	K03582
PHAYL_02072	K03583
PHAYL_02075	K05800
PHAYL_02078	K03830
PHAYL_02080	K06199
PHAYL_02083	K07799
PHAYL_02084	K07788
PHAYL_02085	K07789
PHAYL_02086	K01478
PHAYL_02087	K03758
PHAYL_02091	K07497
PHAYL_02093	K00928
PHAYL_02094	K04075
PHAYL_02095	K01962
PHAYL_02096	K01247
PHAYL_02097	K01883
PHAYL_02099	K03767
PHAYL_02100	K03768
PHAYL_02101	K03269
PHAYL_02102	K02533
PHAYL_02103	K01092
PHAYL_02105	K19231
PHAYL_02107	K03555
PHAYL_02109	K03775
PHAYL_02110	K18850
PHAYL_02112	K03722
PHAYL_02115	K06959
PHAYL_02117	K03549
PHAYL_02118	K07101
PHAYL_02119	K01939
PHAYL_02120	K02502
PHAYL_02121	K09937
PHAYL_02122	K04087
PHAYL_02123	K04088
PHAYL_02126	K03666
PHAYL_02127	K03977
PHAYL_02128	K17713
PHAYL_02130	K01892
PHAYL_02131	K03526
PHAYL_02132	K15539
PHAYL_02133	K06941
PHAYL_02134	K00940
PHAYL_02135	K19416
PHAYL_02140	K07287
PHAYL_02141	K01714
PHAYL_02143	K01867
PHAYL_02147	K07053
PHAYL_02151	K04083
PHAYL_02153	K05589
PHAYL_02154	K01689
PHAYL_02155	K01627
PHAYL_02156	K01937
PHAYL_02159	K02238
PHAYL_02160	K03424
PHAYL_02161	K09810
PHAYL_02162	K09808
PHAYL_02166	K07462
PHAYL_02167	K02836
PHAYL_02168	K04567
PHAYL_02170	K04755
PHAYL_02171	K04044
PHAYL_02172	K04082
PHAYL_02173	K13628
PHAYL_02174	K04488
PHAYL_02175	K04487
PHAYL_02176	K13643
PHAYL_02178	K05539
PHAYL_02182	K00615
PHAYL_02183	K00615
PHAYL_02184	K20534
PHAYL_02188	K03273
PHAYL_02189	K15669
PHAYL_02190	K03271
PHAYL_02191	K07031
PHAYL_02192	K20444
PHAYL_02193	K09691
PHAYL_02194	K09690
PHAYL_02195	K00067
PHAYL_02196	K01790
PHAYL_02197	K00973
PHAYL_02198	K01710
PHAYL_02201	K18929
PHAYL_02202	K18928
PHAYL_02204	K07262
PHAYL_02206	K00382
PHAYL_02207	K00627
PHAYL_02208	K00163
PHAYL_02212	K01491
PHAYL_02213	K01414
PHAYL_02214	K02346
PHAYL_02218	K01142
PHAYL_02220	K07712
PHAYL_02221	K07708
PHAYL_02222	K01915
PHAYL_02228	K03578
PHAYL_02229	K14682
PHAYL_02231	K03762
PHAYL_02235	K19591
PHAYL_02237	K07213
PHAYL_02238	K00789
PHAYL_02239	K02168
PHAYL_02240	K15342
PHAYL_02241	K09952
PHAYL_02243	K14393
PHAYL_02246	K11904
PHAYL_02253	K00156
PHAYL_02254	K01895
PHAYL_02257	K01676
PHAYL_02258	K03594
PHAYL_02259	K01776
PHAYL_02262	K02192
PHAYL_02263	K03832
PHAYL_02264	K03561
PHAYL_02265	K03559
PHAYL_02268	K07397
PHAYL_02271	K07243
PHAYL_02273	K07230
PHAYL_02274	K03702
PHAYL_02275	K00832
PHAYL_02277	K07001
PHAYL_02278	K00019
PHAYL_02280	K07115
PHAYL_02283	K01185
PHAYL_02285	K06919
PHAYL_02289	K03497
PHAYL_02293	K00219
PHAYL_02296	K10016
PHAYL_02297	K10015
PHAYL_02298	K10017
PHAYL_02300	K04751
PHAYL_02301	K01950
PHAYL_02303	K09919
PHAYL_02305	K07461
PHAYL_02306	K01507
PHAYL_02307	K01524
PHAYL_02308	K00937
PHAYL_02309	K07636
PHAYL_02310	K07657
PHAYL_02311	K02039
PHAYL_02312	K02036
PHAYL_02313	K02038
PHAYL_02314	K02037
PHAYL_02315	K02040
PHAYL_02316	K03431
PHAYL_02317	K00796
PHAYL_02318	K03798
PHAYL_02319	K02427
PHAYL_02320	K07574
PHAYL_02322	K03624
PHAYL_02323	K01955
PHAYL_02324	K01956
PHAYL_02326	K08307
PHAYL_02327	K01069
PHAYL_02329	K03469
PHAYL_02330	K02342
PHAYL_02340	K01525
PHAYL_02341	K00655
PHAYL_02342	K01465
PHAYL_02343	K00609
PHAYL_02344	K02825
PHAYL_02345	K07447
PHAYL_02346	K07735
PHAYL_02350	K00941
PHAYL_02351	K03527
PHAYL_02352	K03774
PHAYL_02353	K03630
PHAYL_02354	K02902
PHAYL_02355	K02913
PHAYL_02356	K00278
PHAYL_02358	K03517
PHAYL_02359	K00507
PHAYL_02362	K15721
PHAYL_02364	K06147
PHAYL_02365	K06147
PHAYL_02366	K04784
PHAYL_02367	K05373
PHAYL_02368	K04786
PHAYL_02369	K04785
PHAYL_02370	K05374
PHAYL_02371	K04783
PHAYL_02373	K03500
PHAYL_02374	K11175
PHAYL_02375	K11753
PHAYL_02376	K01870
PHAYL_02377	K03101
PHAYL_02378	K13038
PHAYL_02380	K01520
PHAYL_02381	K03694
PHAYL_02382	K06891
PHAYL_02383	K03704
PHAYL_02386	K01574
PHAYL_02387	K01574
PHAYL_02388	K01999
PHAYL_02390	K01997
PHAYL_02391	K01998
PHAYL_02392	K01995
PHAYL_02393	K01996
PHAYL_02399	K00031
PHAYL_02400	K06181
PHAYL_02402	K09005
PHAYL_02403	K02355
PHAYL_02405	K03710
PHAYL_02409	K06152
PHAYL_02410	K06151
PHAYL_02411	K22474
PHAYL_02413	K00252
PHAYL_02415	K01897
PHAYL_02419	K03457
PHAYL_02420	K04564
PHAYL_02421	K03601
PHAYL_02422	K00912
PHAYL_02423	K09791
PHAYL_02424	K00979
PHAYL_02425	K00939
PHAYL_02428	K03980
PHAYL_02429	K02968
PHAYL_02432	K00611
PHAYL_02433	K01940
PHAYL_02434	K00075
PHAYL_02435	K09767
PHAYL_02436	K08591
PHAYL_02438	K01897
PHAYL_02439	K04763
PHAYL_02440	K00567
PHAYL_02441	K18979
PHAYL_02442	K06925
PHAYL_02443	K01448
PHAYL_02444	K15268
PHAYL_02446	K05838
PHAYL_02447	K22132
PHAYL_02448	K00275
PHAYL_02449	K00574
PHAYL_02450	K07304
PHAYL_02454	K23470
PHAYL_02455	K03719
PHAYL_02456	K01556
PHAYL_02457	K00453
PHAYL_02459	K09823
PHAYL_02460	K02077
PHAYL_02461	K02074
PHAYL_02462	K02075
PHAYL_02463	K01070
PHAYL_02464	K00121
PHAYL_02465	K24206
PHAYL_02466	K18933
PHAYL_02468	K18139
PHAYL_02469	K18138
PHAYL_02470	K03585
PHAYL_02471	K03577
PHAYL_02472	K09386
PHAYL_02476	K04771
PHAYL_02477	K02484
PHAYL_02478	K07666
PHAYL_02479	K07259
PHAYL_02481	K07566
PHAYL_02482	K01589
PHAYL_02483	K01588
PHAYL_02484	K01923
PHAYL_02485	K01624
PHAYL_02486	K00873
PHAYL_02487	K00927
PHAYL_02490	K00826
PHAYL_02492	K02843
PHAYL_02494	K07019
PHAYL_02496	K01423
PHAYL_02497	K03637
PHAYL_02499	K03381
PHAYL_02500	K03464
PHAYL_02501	K01856
PHAYL_02504	K03863
PHAYL_02508	K22027
PHAYL_02511	K01426
PHAYL_02512	K00059
PHAYL_02514	K00484
PHAYL_02516	K01875
PHAYL_02518	K07478
PHAYL_02519	K03457
PHAYL_02520	K21699
PHAYL_02521	K03634
PHAYL_02522	K03466
PHAYL_02524	K00384
PHAYL_02526	K10112
PHAYL_02527	K17317
PHAYL_02528	K17316
PHAYL_02530	K17315
PHAYL_02531	K00036
PHAYL_02532	K01057
PHAYL_02533	K00845
PHAYL_02534	K07552
PHAYL_02535	K01845
PHAYL_02536	K11752
PHAYL_02537	K00793
PHAYL_02541	K03574
PHAYL_02542	K06016
PHAYL_02543	K01466
PHAYL_02545	K03762
PHAYL_02546	K16841
PHAYL_02547	K14652
PHAYL_02548	K00794
PHAYL_02549	K03625
PHAYL_02551	K03182
PHAYL_02552	K06895
PHAYL_02553	K22589
PHAYL_02556	K02221
PHAYL_02558	K11903
PHAYL_02560	K07497
PHAYL_02561	K07497
PHAYL_02574	K11891
PHAYL_02575	K11910
PHAYL_02576	K11909
PHAYL_02577	K11908
PHAYL_02578	K11907
PHAYL_02579	K11901
PHAYL_02580	K11900
PHAYL_02581	K11905
PHAYL_02582	K11896
PHAYL_02583	K11895
PHAYL_02584	K11894
PHAYL_02586	K11893
PHAYL_02587	K11892
PHAYL_02588	K11904
PHAYL_02600	K02650
PHAYL_02602	K01902
PHAYL_02603	K01903
PHAYL_02604	K03565
PHAYL_02605	K03553
PHAYL_02606	K02483
PHAYL_02607	K07649
PHAYL_02614	K01479
PHAYL_02616	K02029
PHAYL_02617	K02030
PHAYL_02623	K04763
PHAYL_02631	K03975
PHAYL_02632	K03572
PHAYL_02633	K00791
PHAYL_02634	K01933
PHAYL_02636	K10763
PHAYL_02638	K00970
PHAYL_02639	K00950
PHAYL_02640	K15518
PHAYL_02641	K00606
PHAYL_02644	K03686
PHAYL_02646	K04043
PHAYL_02648	K03687
PHAYL_02650	K04762
PHAYL_02651	K01772
PHAYL_02652	K03705
PHAYL_02653	K00858
PHAYL_02654	K03631
PHAYL_02655	K00982
PHAYL_02657	K11206
PHAYL_02658	K03568
PHAYL_02659	K01626
PHAYL_02661	K00798
PHAYL_02662	K00102
PHAYL_02663	K00104
PHAYL_02664	K11472
PHAYL_02665	K11473
PHAYL_02666	K06997
PHAYL_02667	K00286
PHAYL_02668	K03179
PHAYL_02669	K04047
PHAYL_02671	K04761
PHAYL_02672	K03655
PHAYL_02673	K07568
PHAYL_02674	K00773
PHAYL_02675	K03210
PHAYL_02676	K03072
PHAYL_02677	K03074
PHAYL_02678	K03762
PHAYL_02684	K03808
PHAYL_02685	K03808
PHAYL_02686	K06192
PHAYL_02687	K09857
PHAYL_02689	K07444
PHAYL_02691	K00325
PHAYL_02692	K00324
PHAYL_02693	K00324
PHAYL_02698	K00566
PHAYL_02701	K00799
PHAYL_02703	K01262
PHAYL_02704	K03185
PHAYL_02705	K05540
PHAYL_02706	K03557
PHAYL_02707	K00602
PHAYL_02709	K01159
PHAYL_02710	K03550
PHAYL_02711	K03551
PHAYL_02715	K15634
PHAYL_02716	K07560
PHAYL_02717	K01866
PHAYL_02718	K09001
PHAYL_02719	K15724
PHAYL_02720	K02996
PHAYL_02721	K02871
PHAYL_02722	K07687
PHAYL_02723	K07679
PHAYL_02725	K07347
PHAYL_02726	K07397
PHAYL_02729	K01465
PHAYL_02731	K10004
PHAYL_02732	K10002
PHAYL_02733	K10003
PHAYL_02734	K10001
PHAYL_02735	K00261
PHAYL_02736	K21645
PHAYL_02737	K01756
PHAYL_02738	K00851
PHAYL_02739	K03299
PHAYL_02746	K01625
PHAYL_02747	K01690
PHAYL_02748	K19337
PHAYL_02749	K08973
PHAYL_02750	K00147
PHAYL_02751	K02340
PHAYL_02752	K03643
PHAYL_02753	K01869
PHAYL_02754	K03559
PHAYL_02755	K03561
PHAYL_02756	K00215
PHAYL_02757	K06186
PHAYL_02758	K03711
PHAYL_02759	K00134
PHAYL_02760	K00615
PHAYL_02761	K01297
PHAYL_02763	K09761
PHAYL_02765	K01167
PHAYL_02766	K00029
PHAYL_02767	K00946
PHAYL_02768	K01095
PHAYL_02769	K03743
PHAYL_02770	K01591
PHAYL_02771	K03814
PHAYL_02772	K00014
PHAYL_02773	K01147
PHAYL_02774	K07000
PHAYL_02775	K02558
PHAYL_02778	K03786
PHAYL_02779	K02160
PHAYL_02780	K01961
PHAYL_02781	K02687
PHAYL_02783	K11065
PHAYL_02784	K00856
PHAYL_02785	K06077
PHAYL_02786	K08369
PHAYL_02788	K00526
PHAYL_02789	K00525
PHAYL_02790	K03806
PHAYL_02792	K03106
PHAYL_02793	K00760
PHAYL_02794	K01881
PHAYL_02795	K08311
PHAYL_02797	K00931
PHAYL_02798	K03979
PHAYL_02799	K02899
PHAYL_02801	K02523
PHAYL_02809	K13979
PHAYL_02811	K03928
PHAYL_02813	K03111
PHAYL_02815	K03701
PHAYL_02817	K01433
PHAYL_02820	K00759
PHAYL_02821	K03455
PHAYL_02822	K06041
PHAYL_02823	K03270
PHAYL_02824	K11719
PHAYL_02825	K09774
PHAYL_02826	K06861
PHAYL_02827	K03092
PHAYL_02828	K05808
PHAYL_02829	K02806
PHAYL_02830	K06023
PHAYL_02831	K06958
PHAYL_02832	K07157
PHAYL_02833	K03575
PHAYL_02837	K02494
PHAYL_02838	K00919
PHAYL_02840	K00948
PHAYL_02841	K02897
PHAYL_02842	K01056
PHAYL_02844	K00954
PHAYL_02845	K08316
PHAYL_02846	K03110
PHAYL_02848	K16165
PHAYL_02850	K01649
PHAYL_02853	K03089
PHAYL_02855	K00425
PHAYL_02856	K00426
PHAYL_02857	K00424
PHAYL_02858	K02804
PHAYL_02860	K00820
PHAYL_02861	K01443
PHAYL_02863	K02073
PHAYL_02864	K07152
PHAYL_02865	K02257
PHAYL_02866	K02259
PHAYL_02868	K14998
PHAYL_02870	K02276
PHAYL_02872	K02258
PHAYL_02875	K02275
PHAYL_02877	K02169
PHAYL_02879	K03216
PHAYL_02880	K00057
PHAYL_02881	K03071
PHAYL_02882	K03676
PHAYL_02884	K01834
PHAYL_02885	K03797
PHAYL_02886	K21029
PHAYL_02887	K08483
PHAYL_02888	K02784
PHAYL_02889	K02793
PHAYL_02890	K01920
PHAYL_02891	K01919
PHAYL_02894	K03320
PHAYL_02895	K04752
PHAYL_02896	K09806
PHAYL_02897	K07391
PHAYL_02901	K10126
PHAYL_02902	K10125
PHAYL_02903	K11103
PHAYL_02904	K01126
PHAYL_02905	K03324
PHAYL_02908	K13953
PHAYL_02911	K11904
PHAYL_02918	K00058
PHAYL_02919	K01596
PHAYL_02920	K03644
PHAYL_02921	K03801
PHAYL_02923	K03566
PHAYL_02924	K09158
PHAYL_02925	K07258
PHAYL_02926	K07018
PHAYL_02929	K18480
PHAYL_02930	K02067
PHAYL_02931	K02065
PHAYL_02932	K02066
PHAYL_02933	K03524
PHAYL_02934	K03525
PHAYL_02936	K21345
PHAYL_02938	K07001
PHAYL_02940	K16171
PHAYL_02944	K00548
PHAYL_02945	K00548
PHAYL_02947	K01887
PHAYL_02949	K03673
PHAYL_02951	K12368
PHAYL_02954	K00906
PHAYL_02955	K01673
PHAYL_02956	K00626
PHAYL_02958	K00248
PHAYL_02959	K09858
PHAYL_02961	K01919
PHAYL_02962	K13529
PHAYL_02963	K10778
PHAYL_02968	K00657
PHAYL_02979	K03650
PHAYL_02982	K03217
PHAYL_02984	K02914
PHAYL_02986	K03497
PHAYL_02987	K03496
PHAYL_02988	K00537
PHAYL_02990	K19784
PHAYL_02993	K21678
PHAYL_02994	K21677
PHAYL_02995	K06045
PHAYL_02997	K07178
PHAYL_03008	K16922
PHAYL_03010	K03585
PHAYL_03013	K20276
PHAYL_03017	K03574
PHAYL_03018	K04754
PHAYL_03019	K07003
PHAYL_03020	K07323
PHAYL_03021	K06200
PHAYL_03024	K03527
PHAYL_03030	K00091
PHAYL_03031	K01512
PHAYL_03034	K01173
PHAYL_03036	K04750
PHAYL_03043	K05712
PHAYL_03044	K13888
PHAYL_03045	K05685
PHAYL_03048	K06133
PHAYL_03049	K01999
PHAYL_03056	K23228
PHAYL_03057	K13255
PHAYL_03058	K23227
PHAYL_03066	K06160
PHAYL_03069	K03896
PHAYL_03070	K10531
PHAYL_03071	K02014
PHAYL_03073	K13060
PHAYL_03076	K00640
PHAYL_03077	K01495
PHAYL_03078	K01031
PHAYL_03079	K01032
PHAYL_03080	K01857
PHAYL_03081	K01055
PHAYL_03082	K01607
PHAYL_03083	K08195
PHAYL_03084	K00822
PHAYL_03087	K05799
PHAYL_03088	K21607
PHAYL_03089	K15060
PHAYL_03091	K05799
PHAYL_03092	K15062
PHAYL_03096	K10218
PHAYL_03098	K00817
PHAYL_03099	K02033
PHAYL_03100	K02034
PHAYL_03101	K02031
PHAYL_03102	K02032
PHAYL_03106	K02035
PHAYL_03111	K16165
PHAYL_03112	K00450
PHAYL_03113	K20940
PHAYL_03116	K10823
PHAYL_03117	K15583
PHAYL_03118	K15582
PHAYL_03119	K15581
PHAYL_03120	K15580
PHAYL_03121	K03305
PHAYL_03124	K02571
PHAYL_03125	K02570
PHAYL_03126	K02567
PHAYL_03127	K02568
PHAYL_03128	K02569
PHAYL_03129	K02193
PHAYL_03130	K02194
PHAYL_03131	K02195
PHAYL_03133	K02197
PHAYL_03134	K02198
PHAYL_03135	K02199
PHAYL_03136	K02200
PHAYL_03137	K02200
PHAYL_03141	K07058
PHAYL_03143	K00123
PHAYL_03144	K00124
PHAYL_03145	K00127
PHAYL_03146	K02380
PHAYL_03147	K01042
PHAYL_03148	K03833
PHAYL_03162	K07497
PHAYL_03163	K07726
PHAYL_03165	K01185
PHAYL_03167	K14744
PHAYL_03175	K09796
PHAYL_03176	K18118
PHAYL_03179	K07507
PHAYL_03181	K07098
PHAYL_03182	K07001
PHAYL_03183	K00135
PHAYL_03184	K00823
PHAYL_03185	K00375
PHAYL_03186	K01008
PHAYL_03188	K02402
PHAYL_03189	K02403
PHAYL_03190	K02431
PHAYL_03196	K00014
PHAYL_03197	K08194
PHAYL_03199	K07497
PHAYL_03202	K02013
PHAYL_03203	K02015
PHAYL_03204	K02016
PHAYL_03205	K07225
PHAYL_03206	K16087
PHAYL_03207	K19231
PHAYL_03218	K09471
PHAYL_03220	K12256
PHAYL_03221	K01915
PHAYL_03222	K07010
PHAYL_03223	K09472
PHAYL_03225	K00253
PHAYL_03226	K01969
PHAYL_03227	K13766
PHAYL_03228	K01968
PHAYL_03229	K00033
PHAYL_03230	K03762
PHAYL_03233	K01620
PHAYL_03236	K06987
PHAYL_03237	K10013
PHAYL_03238	K05774
PHAYL_03239	K05799
PHAYL_03240	K08319
PHAYL_03241	K21948
PHAYL_03242	K22130
PHAYL_03244	K22131
PHAYL_03245	K22025
PHAYL_03246	K00632
PHAYL_03250	K05712
PHAYL_03253	K09824
PHAYL_03255	K03781
PHAYL_03256	K03587
PHAYL_03258	K01841
PHAYL_03259	K09459
PHAYL_03260	K03430
PHAYL_03263	K07141
PHAYL_03264	K18816
PHAYL_03265	K04343
PHAYL_03273	K03719
PHAYL_03275	K02000
PHAYL_03276	K02001
PHAYL_03277	K21826
PHAYL_03278	K03449
PHAYL_03279	K02518
PHAYL_03284	K11904
PHAYL_03293	K06901
PHAYL_03294	K11066
PHAYL_03296	K13876
PHAYL_03298	K13875
PHAYL_03299	K01631
PHAYL_03300	K00883
PHAYL_03304	K17836
PHAYL_03308	K08641
PHAYL_03310	K01207
PHAYL_03311	K01497
PHAYL_03314	K06446
PHAYL_03315	K07300
PHAYL_03322	K00471
PHAYL_03323	K01066
PHAYL_03324	K07107
PHAYL_03325	K17735
PHAYL_03327	K02002
PHAYL_03329	K17736
PHAYL_03335	K02002
PHAYL_03336	K21832
PHAYL_03337	K00479
PHAYL_03338	K03521
PHAYL_03339	K03522
PHAYL_03340	K21834
PHAYL_03341	K21833
PHAYL_03343	K01273
PHAYL_03344	K21826
PHAYL_03348	K01912
PHAYL_03349	K01897
PHAYL_03350	K09458
PHAYL_03352	K02078
PHAYL_03353	K00059
PHAYL_03354	K02372
PHAYL_03357	K02003
PHAYL_03358	K02004
PHAYL_03363	K00525
PHAYL_03364	K00148
PHAYL_03367	K06193
PHAYL_03371	K00305
PHAYL_03372	K00302
PHAYL_03373	K00304
PHAYL_03374	K00303
PHAYL_03382	K00036
PHAYL_03384	K10716
PHAYL_03388	K03442
PHAYL_03389	K08717
PHAYL_03390	K01821
PHAYL_03392	K03189
PHAYL_03393	K03188
PHAYL_03394	K03187
PHAYL_03395	K01428
PHAYL_03396	K01429
PHAYL_03397	K01430
PHAYL_03398	K03190
PHAYL_03400	K07241
PHAYL_03411	K09861
PHAYL_03413	K14287
PHAYL_03416	K00074
PHAYL_03417	K11209
PHAYL_03421	K01515
PHAYL_03423	K00343
PHAYL_03424	K00342
PHAYL_03425	K00341
PHAYL_03426	K00340
PHAYL_03427	K00339
PHAYL_03428	K00338
PHAYL_03429	K00337
PHAYL_03430	K00336
PHAYL_03431	K00335
PHAYL_03432	K00334
PHAYL_03433	K00333
PHAYL_03434	K00332
PHAYL_03435	K00331
PHAYL_03436	K00330
PHAYL_03438	K03075
PHAYL_03439	K01803
PHAYL_03440	K00344
PHAYL_03441	K00962
PHAYL_03442	K02956
PHAYL_03443	K01999
PHAYL_03445	K01649
PHAYL_03446	K17103
PHAYL_03447	K01613
PHAYL_03448	K00053
PHAYL_03449	K01653
PHAYL_03450	K01652
PHAYL_03458	K02004
PHAYL_03460	K11741
PHAYL_03461	K07667
PHAYL_03462	K07646
PHAYL_03463	K01548
PHAYL_03465	K01547
PHAYL_03466	K01546
PHAYL_03473	K00344
PHAYL_03474	K01734
PHAYL_03475	K00761
PHAYL_03477	K01945
PHAYL_03478	K00228
PHAYL_03479	K00969
PHAYL_03480	K09710
PHAYL_03481	K00783
PHAYL_03482	K06287
PHAYL_03483	K08301
PHAYL_03487	K00472
PHAYL_03489	K02847
PHAYL_03492	K11085
PHAYL_03493	K12984
PHAYL_03494	K02337
PHAYL_03496	K07146
PHAYL_03497	K01894
PHAYL_03498	K11927
PHAYL_03500	K01652
PHAYL_03503	K08289
PHAYL_03507	K03466
PHAYL_03508	K01999
PHAYL_03509	K02433
PHAYL_03510	K06720
PHAYL_03514	K05973
PHAYL_03516	K03616
PHAYL_03517	K10773
PHAYL_03522	K22479
PHAYL_03523	K09989
PHAYL_03524	K00616
PHAYL_03525	K04750
PHAYL_03528	K07168
PHAYL_03531	K03181
PHAYL_03533	K04079
PHAYL_03536	K05825
PHAYL_03541	K06016
PHAYL_03545	K02621
PHAYL_03546	K02622
PHAYL_03547	K15738
PHAYL_03555	K23275
PHAYL_03556	K19813
PHAYL_03557	K23274
PHAYL_03559	K05343
PHAYL_03560	K01236
PHAYL_03561	K00705
PHAYL_03565	K03772
PHAYL_03567	K10764
PHAYL_03568	K00764
PHAYL_03569	K03558
PHAYL_03570	K03749
PHAYL_03571	K11754
PHAYL_03572	K01963
PHAYL_03573	K01695
PHAYL_03574	K00571
PHAYL_03575	K01696
PHAYL_03576	K01817
PHAYL_03578	K06173
PHAYL_03580	K00133
PHAYL_03581	K00052
PHAYL_03582	K01704
PHAYL_03584	K01703
PHAYL_03586	K01647
PHAYL_03587	K09159
PHAYL_03588	K00240
PHAYL_03589	K00239
PHAYL_03590	K00242
PHAYL_03591	K00241
PHAYL_03592	K03710
PHAYL_03593	K00024
PHAYL_03594	K01644
PHAYL_03595	K03417
PHAYL_03596	K01659
PHAYL_03598	K01720
PHAYL_03599	K01681
PHAYL_03603	K03286
PHAYL_03604	K21449
PHAYL_03610	K02279
PHAYL_03611	K02280
PHAYL_03612	K02283
PHAYL_03613	K12510
PHAYL_03614	K12511
PHAYL_03615	K09005
PHAYL_03619	K07690
PHAYL_03620	K03286
PHAYL_03621	K02053
PHAYL_03622	K02054
PHAYL_03624	K02052
PHAYL_03627	K07734
PHAYL_03629	K17686
PHAYL_03634	K07507
PHAYL_03637	K18335
PHAYL_03638	K07046
PHAYL_03639	K00064
PHAYL_03640	K16850
PHAYL_03641	K16849
PHAYL_03642	K02057
PHAYL_03643	K02056
PHAYL_03644	K10439
PHAYL_03647	K11892
PHAYL_03650	K11892
PHAYL_03660	K11904
PHAYL_03661	K11893
PHAYL_03662	K11906
PHAYL_03663	K11903
PHAYL_03664	K11900
PHAYL_03665	K11901
PHAYL_03666	K11907
PHAYL_03668	K11897
PHAYL_03669	K11896
PHAYL_03670	K11895
PHAYL_03671	K11902
PHAYL_03672	K02837
PHAYL_03679	K16216
PHAYL_03681	K00060
PHAYL_03682	K00639
PHAYL_03683	K23779
