PXENO_00001	K00865
PXENO_02313	K04562
PXENO_02314	K02405
PXENO_02317	K02399
PXENO_02318	K02398
PXENO_02319	K02386
PXENO_02320	K02387
PXENO_02321	K02388
PXENO_02322	K02389
PXENO_02323	K02390
PXENO_02324	K02391
PXENO_02325	K02392
PXENO_02326	K02393
PXENO_02327	K02394
PXENO_02328	K02395
PXENO_02329	K21087
PXENO_02330	K02396
PXENO_02331	K02397
PXENO_02333	K02421
PXENO_02334	K02420
PXENO_02335	K02419
PXENO_02336	K02418
PXENO_02337	K02417
PXENO_02338	K02416
PXENO_02339	K02415
PXENO_02340	K02414
PXENO_02341	K02413
PXENO_02342	K02412
PXENO_02343	K02411
PXENO_02344	K02410
PXENO_02345	K02409
PXENO_02346	K02408
PXENO_02347	K02422
PXENO_02348	K02423
PXENO_02350	K04061
PXENO_02351	K00154
PXENO_02352	K09456
PXENO_02354	K03286
PXENO_02357	K01251
PXENO_02358	K08972
PXENO_02359	K00297
PXENO_02360	K12368
PXENO_02361	K12368
PXENO_02362	K12369
PXENO_02363	K12370
PXENO_02364	K12371
PXENO_02365	K12372
PXENO_02366	K09973
PXENO_02367	K09803
PXENO_02372	K07160
PXENO_02373	K23124
PXENO_02374	K23123
PXENO_02376	K01934
PXENO_02377	K08309
PXENO_02379	K00799
PXENO_02380	K00974
PXENO_02384	K01633
PXENO_02385	K14058
PXENO_02386	K04042
PXENO_02387	K00820
PXENO_02391	K18831
PXENO_02393	K00560
PXENO_02398	K01153
PXENO_02399	K01154
PXENO_02400	K03427
PXENO_02402	K14160
PXENO_02406	K00854
PXENO_02407	K00039
PXENO_02411	K08365
PXENO_02412	K08363
PXENO_02413	K08364
PXENO_02428	K07484
PXENO_02429	K07484
PXENO_02436	K02624
PXENO_02439	K09122
PXENO_02442	K07275
PXENO_02445	K00145
PXENO_02446	K03809
PXENO_02448	K07687
PXENO_02449	K00762
PXENO_02452	K00029
PXENO_02453	K04090
PXENO_02455	K00457
PXENO_02456	K03719
PXENO_02460	K02613
PXENO_02461	K02612
PXENO_02462	K02611
PXENO_02463	K02610
PXENO_02464	K02609
PXENO_02465	K07137
PXENO_02475	K02358
PXENO_02477	K03073
PXENO_02478	K02601
PXENO_02479	K02867
PXENO_02480	K02863
PXENO_02481	K02864
PXENO_02482	K02935
PXENO_02483	K03043
PXENO_02484	K03046
PXENO_02485	K03654
PXENO_02486	K02950
PXENO_02487	K02992
PXENO_02488	K02355
PXENO_02489	K02358
PXENO_02490	K02946
PXENO_02491	K02906
PXENO_02492	K02926
PXENO_02493	K02892
PXENO_02494	K02886
PXENO_02495	K02965
PXENO_02496	K02890
PXENO_02497	K02982
PXENO_02498	K02878
PXENO_02499	K02904
PXENO_02500	K02961
PXENO_02501	K02874
PXENO_02502	K02895
PXENO_02503	K02931
PXENO_02504	K02954
PXENO_02505	K02994
PXENO_02506	K02933
PXENO_02507	K02881
PXENO_02508	K02988
PXENO_02509	K02907
PXENO_02510	K02876
PXENO_02511	K03076
PXENO_02512	K02518
PXENO_02513	K02919
PXENO_02514	K02952
PXENO_02515	K02948
PXENO_02516	K02986
PXENO_02517	K03040
PXENO_02518	K02879
PXENO_02519	K03926
PXENO_02520	K04084
PXENO_02521	K01698
PXENO_02522	K03978
PXENO_02524	K07399
PXENO_02526	K07147
PXENO_02527	K17247
PXENO_02528	K01586
PXENO_02530	K06202
PXENO_02531	K05366
PXENO_02535	K02666
PXENO_02536	K00891
PXENO_02537	K01735
PXENO_02538	K01129
PXENO_02540	K07275
PXENO_02541	K07491
PXENO_02542	K00265
PXENO_02543	K00266
PXENO_02546	K00285
PXENO_02548	K01104
PXENO_02549	K07638
PXENO_02550	K07659
PXENO_02554	K02393
PXENO_02555	K07659
PXENO_02558	K00059
PXENO_02559	K02471
PXENO_02560	K03153
PXENO_02561	K03154
PXENO_02562	K03149
PXENO_02563	K00788
PXENO_02564	K02065
PXENO_02565	K02066
PXENO_02566	K02067
PXENO_02567	K04754
PXENO_02568	K07323
PXENO_02569	K07122
PXENO_02570	K01990
PXENO_02571	K01992
PXENO_02573	K00790
PXENO_02574	K00765
PXENO_02575	K00013
PXENO_02576	K00817
PXENO_02577	K01693
PXENO_02578	K05595
PXENO_02579	K02501
PXENO_02580	K01814
PXENO_02581	K02500
PXENO_02582	K01496
PXENO_02583	K01523
PXENO_02585	K02503
PXENO_02586	K03116
PXENO_02587	K03117
PXENO_02588	K03118
PXENO_02589	K04772
PXENO_02591	K00411
PXENO_02592	K00412
PXENO_02593	K00413
PXENO_02594	K03599
PXENO_02595	K03600
PXENO_02602	K09941
PXENO_02607	K04046
PXENO_02608	K03704
PXENO_02610	K15777
PXENO_02611	K03186
PXENO_02612	K07390
PXENO_02613	K02493
PXENO_02614	K02835
PXENO_02615	K02492
PXENO_02618	K01262
PXENO_02619	K01560
PXENO_02621	K06020
PXENO_02623	K05816
PXENO_02624	K05815
PXENO_02625	K05814
PXENO_02626	K05813
PXENO_02627	K01126
PXENO_02628	K06942
PXENO_02629	K18800
PXENO_02630	K03981
PXENO_02632	K01118
PXENO_02633	K03648
PXENO_02634	K18446
PXENO_02635	K01609
PXENO_02636	K00766
PXENO_02637	K01658
PXENO_02638	K01657
PXENO_02639	K01091
PXENO_02640	K01783
PXENO_02641	K06195
PXENO_02643	K08304
PXENO_02644	K01912
PXENO_02645	K02614
PXENO_02646	K15866
PXENO_02647	K00632
PXENO_02649	K01692
PXENO_02657	K01897
PXENO_02659	K06134
PXENO_02660	K03925
PXENO_02661	K03438
PXENO_02662	K03586
PXENO_02663	K03587
PXENO_02664	K01928
PXENO_02665	K01929
PXENO_02666	K01000
PXENO_02667	K01925
PXENO_02668	K03588
PXENO_02669	K02563
PXENO_02670	K01924
PXENO_02671	K01921
PXENO_02672	K03589
PXENO_02673	K03590
PXENO_02674	K03531
PXENO_02675	K24138
PXENO_02676	K02535
PXENO_02678	K03070
PXENO_02679	K00620
PXENO_02680	K06923
PXENO_02681	K03574
PXENO_02682	K18778
PXENO_02683	K00859
PXENO_02684	K02654
PXENO_02685	K02653
PXENO_02686	K02652
PXENO_02689	K02523
PXENO_02690	K02888
PXENO_02691	K02899
PXENO_02692	K03979
PXENO_02693	K00931
PXENO_02695	K08311
PXENO_02696	K01881
PXENO_02698	K00760
PXENO_02699	K03106
PXENO_02701	K06950
PXENO_02702	K03806
PXENO_02703	K00525
PXENO_02704	K00526
PXENO_02707	K06077
PXENO_02708	K00856
PXENO_02709	K11065
PXENO_02711	K02687
PXENO_02712	K01961
PXENO_02713	K02160
PXENO_02714	K03786
PXENO_02717	K02558
PXENO_02718	K07000
PXENO_02719	K01147
PXENO_02720	K00014
PXENO_02721	K03814
PXENO_02724	K00883
PXENO_02725	K01631
PXENO_02727	K10537
PXENO_02728	K10539
PXENO_02729	K10538
PXENO_02730	K22185
PXENO_02731	K13874
PXENO_02732	K01785
PXENO_02733	K01591
PXENO_02734	K09705
PXENO_02735	K03743
PXENO_02736	K01095
PXENO_02737	K00946
PXENO_02738	K00029
PXENO_02739	K01167
PXENO_02741	K09761
PXENO_02743	K00797
PXENO_02744	K00615
PXENO_02745	K00134
PXENO_02746	K05799
PXENO_02747	K11103
PXENO_02748	K01477
PXENO_02749	K01483
PXENO_02750	K03711
PXENO_02751	K06186
PXENO_02752	K00215
PXENO_02753	K03561
PXENO_02754	K03559
PXENO_02755	K01869
PXENO_02756	K03643
PXENO_02757	K02340
PXENO_02758	K00147
PXENO_02759	K08973
PXENO_02763	K03286
PXENO_02764	K19337
PXENO_02765	K01690
PXENO_02766	K01625
PXENO_02767	K03299
PXENO_02768	K00851
PXENO_02769	K01756
PXENO_02771	K21645
PXENO_02772	K00261
PXENO_02773	K10001
PXENO_02774	K10003
PXENO_02775	K10002
PXENO_02776	K10004
PXENO_02778	K01465
PXENO_02780	K07397
PXENO_02781	K02871
PXENO_02782	K02996
PXENO_02783	K15724
PXENO_02784	K09001
PXENO_02785	K01866
PXENO_02786	K07560
PXENO_02787	K15634
PXENO_02789	K03551
PXENO_02790	K03550
PXENO_02791	K01159
PXENO_02793	K00602
PXENO_02794	K03557
PXENO_02795	K05540
PXENO_02796	K03185
PXENO_02797	K01262
PXENO_02798	K00799
PXENO_02799	K03820
PXENO_02800	K06189
PXENO_02801	K07232
PXENO_02802	K07042
PXENO_02803	K06217
PXENO_02804	K06168
PXENO_02807	K19577
PXENO_02809	K02858
PXENO_02811	K02440
PXENO_02812	K00864
PXENO_02813	K00111
PXENO_02817	K02444
PXENO_02818	K00681
PXENO_02819	K03762
PXENO_02822	K11927
PXENO_02823	K11068
PXENO_02826	K07156
PXENO_02827	K07245
PXENO_02830	K01684
PXENO_02832	K03446
PXENO_02834	K21703
PXENO_02837	K01114
PXENO_02843	K07649
PXENO_02844	K02483
PXENO_02845	K03553
PXENO_02846	K03565
PXENO_02848	K01903
PXENO_02849	K01902
PXENO_02851	K02650
PXENO_02853	K03637
PXENO_02854	K01423
PXENO_02856	K07019
PXENO_02858	K02843
PXENO_02860	K00826
PXENO_02863	K00927
PXENO_02864	K00873
PXENO_02865	K01624
PXENO_02866	K01923
PXENO_02867	K01588
PXENO_02868	K01589
PXENO_02869	K07566
PXENO_02872	K07259
PXENO_02873	K07666
PXENO_02874	K02484
PXENO_02875	K04771
PXENO_02878	K09386
PXENO_02881	K03577
PXENO_02882	K03585
PXENO_02883	K18138
PXENO_02884	K18139
PXENO_02885	K24206
PXENO_02886	K00854
PXENO_02887	K00121
PXENO_02888	K01070
PXENO_02889	K02075
PXENO_02890	K02074
PXENO_02891	K02077
PXENO_02892	K09823
PXENO_02894	K10227
PXENO_02895	K10228
PXENO_02896	K10229
PXENO_02898	K10111
PXENO_02903	K00854
PXENO_02904	K00007
PXENO_02907	K00453
PXENO_02908	K01556
PXENO_02909	K07130
PXENO_02910	K03719
PXENO_02912	K07304
PXENO_02914	K00574
PXENO_02915	K00275
PXENO_02916	K22132
PXENO_02917	K05838
PXENO_02919	K15268
PXENO_02920	K01448
PXENO_02921	K06925
PXENO_02922	K18979
PXENO_02923	K00567
PXENO_02924	K04763
PXENO_02925	K01897
PXENO_02927	K08591
PXENO_02928	K09767
PXENO_02929	K00075
PXENO_02930	K01940
PXENO_02931	K00611
PXENO_02933	K02968
PXENO_02934	K03980
PXENO_02937	K00939
PXENO_02938	K00979
PXENO_02939	K09791
PXENO_02940	K00912
PXENO_02941	K03601
PXENO_02942	K04564
PXENO_02944	K09137
PXENO_02945	K03782
PXENO_02949	K01358
PXENO_02954	K01647
PXENO_02956	K03710
PXENO_02960	K02031
PXENO_02960	K02032
PXENO_02961	K02034
PXENO_02962	K02033
PXENO_02963	K02035
PXENO_02964	K07241
PXENO_02966	K02355
PXENO_02967	K09005
PXENO_02968	K06181
PXENO_02969	K00031
PXENO_02970	K03704
PXENO_02971	K06891
PXENO_02972	K03694
PXENO_02974	K01520
PXENO_02976	K13038
PXENO_02977	K03101
PXENO_02978	K01870
PXENO_02979	K11753
PXENO_02980	K11175
PXENO_02981	K03500
PXENO_02983	K00507
PXENO_02984	K03517
PXENO_02985	K00767
PXENO_02986	K00278
PXENO_02987	K02913
PXENO_02988	K02902
PXENO_02989	K03630
PXENO_02990	K03774
PXENO_02991	K03527
PXENO_02992	K01999
PXENO_02993	K01997
PXENO_02994	K01998
PXENO_02995	K01995
PXENO_02996	K01996
PXENO_02998	K00821
PXENO_02999	K00523
PXENO_03002	K06183
PXENO_03004	K13051
PXENO_03005	K13892
PXENO_03006	K13889
PXENO_03007	K13890
PXENO_03008	K13891
PXENO_03009	K01266
PXENO_03010	K16203
PXENO_03012	K11734
PXENO_03021	K02557
PXENO_03026	K02495
PXENO_03027	K06940
PXENO_03029	K06153
PXENO_03031	K03439
PXENO_03041	K07493
PXENO_03048	K02221
PXENO_03053	K22589
PXENO_03054	K06895
PXENO_03055	K03182
PXENO_03058	K03625
PXENO_03059	K00794
PXENO_03060	K14652
PXENO_03061	K00793
PXENO_03062	K11752
PXENO_03063	K01845
PXENO_03065	K07552
PXENO_03070	K02428
PXENO_03071	K00989
PXENO_03073	K00942
PXENO_03074	K03060
PXENO_03075	K01139
PXENO_03079	K04760
PXENO_03082	K03704
PXENO_03083	K02342
PXENO_03084	K04093
PXENO_03086	K03701
PXENO_03089	K03841
PXENO_03090	K21498
PXENO_03091	K01256
PXENO_03093	K23541
PXENO_03096	K02078
PXENO_03097	K02078
PXENO_03101	K01745
PXENO_03102	K07107
PXENO_03105	K00647
PXENO_03107	K00059
PXENO_03108	K09458
PXENO_03109	K00647
PXENO_03114	K01487
PXENO_03115	K21053
PXENO_03116	K07402
PXENO_03117	K13482
PXENO_03118	K13481
PXENO_03119	K03611
PXENO_03120	K02433
PXENO_03121	K03455
PXENO_03122	K07010
PXENO_03126	K03288
PXENO_03128	K21903
PXENO_03129	K16264
PXENO_03131	K00126
PXENO_03132	K00123
PXENO_03133	K00124
PXENO_03134	K00127
PXENO_03139	K22292
PXENO_03140	K00568
PXENO_03141	K03286
PXENO_03142	K02469
PXENO_03143	K09924
PXENO_03144	K00831
PXENO_03145	K14170
PXENO_03146	K00817
PXENO_03147	K04517
PXENO_03148	K00800
PXENO_03149	K00945
PXENO_03150	K02945
PXENO_03151	K05788
PXENO_03152	K08992
PXENO_03153	K19804
PXENO_03154	K00012
PXENO_03155	K21344
PXENO_03156	K03274
PXENO_03157	K02237
PXENO_03158	K12339
PXENO_03159	K08305
PXENO_03162	K01054
PXENO_03163	K02071
PXENO_03164	K02072
PXENO_03165	K02073
PXENO_03166	K03521
PXENO_03167	K03522
PXENO_03168	K20035
PXENO_03169	K00285
PXENO_03170	K03719
PXENO_03174	K02959
PXENO_03175	K02860
PXENO_03176	K00554
PXENO_03177	K02884
PXENO_03179	K02227
PXENO_03182	K06949
PXENO_03183	K06013
PXENO_03184	K13288
PXENO_03185	K03831
PXENO_03187	K03592
PXENO_03188	K00287
PXENO_03192	K06992
PXENO_03198	K00560
PXENO_03205	K01679
PXENO_03206	K06132
PXENO_03207	K03453
PXENO_03208	K03327
PXENO_03209	K14761
PXENO_03212	K03657
PXENO_03217	K05805
PXENO_03220	K05524
PXENO_03221	K00763
PXENO_03222	K00782
PXENO_03224	K00090
PXENO_03225	K09760
PXENO_03228	K03750
PXENO_03229	K03752
PXENO_03230	K03639
PXENO_03231	K08300
PXENO_03232	K06179
PXENO_03233	K01091
PXENO_03235	K04773
PXENO_03236	K07056
PXENO_03237	K06287
PXENO_03238	K07040
PXENO_03239	K02911
PXENO_03240	K03621
PXENO_03241	K00648
PXENO_03242	K00645
PXENO_03243	K00059
PXENO_03244	K02078
PXENO_03245	K09458
PXENO_03247	K03088
PXENO_03248	K03597
PXENO_03249	K03598
PXENO_03250	K04771
PXENO_03252	K03596
PXENO_03253	K03100
PXENO_03254	K03685
PXENO_03255	K03595
PXENO_03256	K03584
PXENO_03257	K03474
PXENO_03258	K00997
PXENO_03259	K01207
PXENO_03262	K02356
PXENO_03264	K03703
PXENO_03265	K08744
PXENO_03268	K09780
PXENO_03269	K05548
PXENO_03270	K03863
PXENO_03271	K16320
PXENO_03272	K16319
PXENO_03275	K03101
PXENO_03277	K16319
PXENO_03278	K16320
PXENO_03282	K09780
PXENO_03285	K00020
PXENO_03289	K03101
PXENO_03292	K00217
PXENO_03293	K01061
PXENO_03295	K01856
PXENO_03296	K15253
PXENO_03297	K21757
PXENO_03304	K19267
PXENO_03305	K18305
PXENO_03306	K18301
PXENO_03307	K18305
PXENO_03309	K09022
PXENO_03310	K15059
PXENO_03311	K15058
PXENO_03312	K10217
PXENO_03313	K15067
PXENO_03314	K02554
PXENO_03315	K01617
PXENO_03316	K04073
PXENO_03317	K01666
PXENO_03321	K03446
PXENO_03322	K03543
PXENO_03324	K12976
PXENO_03325	K07001
PXENO_03327	K01501
PXENO_03334	K03449
PXENO_03337	K19156
PXENO_03338	K19155
PXENO_03345	K03630
PXENO_03375	K00986
PXENO_03384	K00558
PXENO_03385	K03169
PXENO_03386	K03111
PXENO_03393	K12055
PXENO_03394	K07733
PXENO_03401	K09973
PXENO_03402	K02348
PXENO_03403	K02351
PXENO_03404	K09796
PXENO_03405	K07152
PXENO_03406	K01087
PXENO_03407	K00697
PXENO_03408	K06147
PXENO_03411	K08983
PXENO_03412	K06147
PXENO_03414	K02342
PXENO_03415	K03469
PXENO_03417	K01069
PXENO_03418	K08307
PXENO_03420	K01956
PXENO_03421	K01955
PXENO_03422	K03624
PXENO_03424	K07574
PXENO_03425	K02427
PXENO_03426	K03798
PXENO_03427	K00796
PXENO_03428	K03431
PXENO_03430	K02040
PXENO_03431	K02037
PXENO_03432	K02038
PXENO_03433	K02036
PXENO_03434	K02039
PXENO_03435	K07657
PXENO_03436	K07636
PXENO_03437	K00937
PXENO_03438	K01524
PXENO_03440	K08296
PXENO_03458	K03327
PXENO_03460	K18555
PXENO_03464	K06153
PXENO_03468	K00428
PXENO_03472	K10001
PXENO_03473	K01886
PXENO_03474	K00681
PXENO_03475	K07002
PXENO_03477	K01872
PXENO_03480	K01620
PXENO_03481	K03426
PXENO_03482	K00043
PXENO_03483	K07107
PXENO_03484	K01997
PXENO_03485	K01998
PXENO_03486	K01995
PXENO_03487	K01996
PXENO_03489	K03337
PXENO_03490	K03335
PXENO_03491	K03336
PXENO_03492	K03338
PXENO_03493	K02056
PXENO_03494	K02057
PXENO_03495	K02058
PXENO_03497	K00010
PXENO_03498	K00010
PXENO_03499	K04085
PXENO_03500	K00963
PXENO_03501	K01873
PXENO_03503	K03657
PXENO_03504	K01243
PXENO_03505	K01908
PXENO_03506	K08223
PXENO_03507	K03406
PXENO_03509	K21695
PXENO_03518	K03809
PXENO_03519	K07058
PXENO_03523	K01740
PXENO_03526	K01736
PXENO_03528	K00311
PXENO_03530	K07107
PXENO_03532	K01028
PXENO_03533	K01029
PXENO_03536	K00951
PXENO_03538	K01868
PXENO_03539	K02520
PXENO_03540	K02916
PXENO_03541	K02887
PXENO_03542	K01889
PXENO_03543	K01890
PXENO_03544	K04764
PXENO_03547	K02030
PXENO_03548	K09024
PXENO_03549	K24116
PXENO_03550	K02028
PXENO_03551	K02029
PXENO_03559	K07516
PXENO_03562	K13774
PXENO_03563	K01895
PXENO_03564	K03719
PXENO_03567	K01759
PXENO_03572	K05874
PXENO_03573	K03406
PXENO_03576	K01501
PXENO_03579	K07123
PXENO_03582	K07222
PXENO_03583	K01114
PXENO_03588	K15514
PXENO_03590	K15546
PXENO_03591	K15513
PXENO_03592	K15512
PXENO_03593	K15511
PXENO_03595	K09017
PXENO_03596	K06016
PXENO_03597	K17722
PXENO_03598	K17723
PXENO_03599	K03457
PXENO_03600	K01464
PXENO_03602	K02424
PXENO_03603	K10009
PXENO_03604	K10010
PXENO_03605	K01649
PXENO_03613	K07287
PXENO_03616	K03303
PXENO_03618	K04062
PXENO_03619	K03147
PXENO_03620	K06140
PXENO_03622	K00219
PXENO_03624	K16348
PXENO_03628	K03594
PXENO_03629	K07689
PXENO_03633	K03651
PXENO_03634	K02052
PXENO_03635	K02053
PXENO_03636	K02053
PXENO_03637	K02055
PXENO_03642	K01473
PXENO_03643	K01474
PXENO_03644	K21395
PXENO_03645	K21394
PXENO_03647	K02030
PXENO_03648	K02029
PXENO_03651	K01745
PXENO_03654	K07043
PXENO_03659	K07335
PXENO_03666	K11312
PXENO_03668	K02624
PXENO_03669	K02030
PXENO_03670	K02029
PXENO_03671	K02028
PXENO_03673	K00117
PXENO_03676	K07095
PXENO_03677	K03762
PXENO_03679	K14682
PXENO_03680	K03578
PXENO_03687	K01915
PXENO_03688	K07708
PXENO_03689	K07712
PXENO_03690	K01322
PXENO_03691	K01142
PXENO_03696	K01779
PXENO_03699	K01485
PXENO_03700	K01414
PXENO_03702	K01491
PXENO_03707	K00163
PXENO_03708	K00627
PXENO_03709	K00382
PXENO_03711	K07262
PXENO_03713	K18928
PXENO_03714	K18929
PXENO_03717	K01104
PXENO_03718	K13643
PXENO_03719	K04487
PXENO_03720	K04488
PXENO_03721	K13628
PXENO_03722	K04082
PXENO_03723	K04044
PXENO_03724	K04755
PXENO_03727	K04567
PXENO_03728	K02836
PXENO_03729	K07462
PXENO_03732	K09808
PXENO_03733	K09810
PXENO_03734	K03424
PXENO_03735	K02238
PXENO_03737	K01937
PXENO_03738	K01627
PXENO_03739	K01689
PXENO_03740	K05589
PXENO_03742	K04083
PXENO_03746	K07053
PXENO_03749	K01867
PXENO_03751	K01714
PXENO_03752	K07287
PXENO_03754	K00986
PXENO_03755	K19416
PXENO_03756	K00940
PXENO_03757	K06941
PXENO_03758	K15539
PXENO_03759	K03526
PXENO_03760	K01892
PXENO_03762	K17713
PXENO_03763	K03977
PXENO_03764	K03666
PXENO_03765	K03665
PXENO_03766	K04088
PXENO_03767	K04087
PXENO_03768	K09937
PXENO_03769	K02502
PXENO_03770	K01939
PXENO_03771	K07101
PXENO_03772	K03549
PXENO_03773	K06959
PXENO_03776	K03722
PXENO_03777	K18850
PXENO_03778	K03775
PXENO_03780	K03555
PXENO_03781	K08227
PXENO_03782	K01092
PXENO_03783	K02533
PXENO_03784	K00640
PXENO_03785	K03269
PXENO_03786	K03768
PXENO_03787	K03767
PXENO_03789	K01883
PXENO_03790	K01247
PXENO_03791	K01962
PXENO_03792	K04075
PXENO_03793	K00928
PXENO_03799	K00208
PXENO_03800	K13893
PXENO_03801	K13894
PXENO_03802	K13895
PXENO_03803	K13896
PXENO_03805	K07001
PXENO_03806	K01885
PXENO_03814	K02553
PXENO_03816	K01638
PXENO_03817	K01560
PXENO_03820	K01637
PXENO_03823	K14742
PXENO_03824	K03789
PXENO_03825	K21929
PXENO_03826	K09977
PXENO_03827	K00941
PXENO_03828	K08227
PXENO_03829	K01775
PXENO_03830	K04485
PXENO_03832	K01796
PXENO_03833	K06158
PXENO_03834	K00432
PXENO_03835	K06131
PXENO_03836	K07320
PXENO_03837	K01439
PXENO_03839	K00674
PXENO_03840	K14267
PXENO_03843	K03529
PXENO_03845	K01972
PXENO_03846	K01462
PXENO_03849	K00990
PXENO_03850	K01265
PXENO_03851	K02967
PXENO_03852	K02357
PXENO_03853	K09903
PXENO_03854	K02838
PXENO_03855	K00806
PXENO_03856	K00981
PXENO_03857	K00099
PXENO_03858	K11749
PXENO_03859	K07277
PXENO_03860	K06142
PXENO_03861	K02536
PXENO_03862	K02372
PXENO_03863	K00677
PXENO_03864	K00748
PXENO_03865	K03470
PXENO_03866	K03437
PXENO_03867	K09773
PXENO_03868	K01007
PXENO_03871	K03664
PXENO_03873	K09801
PXENO_03875	K00088
PXENO_03877	K01951
PXENO_03886	K08369
PXENO_03889	K01647
PXENO_03891	K07274
PXENO_03895	K07484
PXENO_03896	K07484
PXENO_03899	K14189
PXENO_03901	K07638
PXENO_03902	K07659
PXENO_03903	K07483
PXENO_03904	K07497
PXENO_03906	K07659
PXENO_03909	K03585
PXENO_03910	K18138
PXENO_03913	K05596
PXENO_03914	K03307
PXENO_03916	K09964
PXENO_03918	K07733
PXENO_03921	K03194
PXENO_03922	K03197
PXENO_03923	K03198
PXENO_03924	K03199
PXENO_03925	K03201
PXENO_03926	K03200
PXENO_03928	K03203
PXENO_03929	K03204
PXENO_03930	K03195
PXENO_03931	K03196
PXENO_03933	K03205
PXENO_03934	K06919
PXENO_03941	K06978
PXENO_03944	K01118
PXENO_03950	K03497
PXENO_03967	K07459
PXENO_03968	K03657
PXENO_03979	K07274
PXENO_03986	K05874
PXENO_03991	K06137
PXENO_03992	K22187
PXENO_03994	K00523
PXENO_03997	K15067
PXENO_03999	K11209
PXENO_04001	K00156
PXENO_04002	K03574
PXENO_04007	K08738
PXENO_04009	K13953
PXENO_04014	K01420
PXENO_04022	K10254
PXENO_04023	K07240
PXENO_04026	K18369
PXENO_04027	K07034
PXENO_04028	K01895
PXENO_04033	K10716
PXENO_04034	K07028
PXENO_04035	K13993
PXENO_04038	K13953
PXENO_04041	K00926
PXENO_04042	K00611
PXENO_04043	K01478
PXENO_04044	K03758
PXENO_04045	K02112
PXENO_04046	K02114
PXENO_04047	K02116
PXENO_04049	K02108
PXENO_04050	K02110
PXENO_04051	K02109
PXENO_04052	K02111
PXENO_04053	K02115
PXENO_04054	K03696
PXENO_04060	K03098
PXENO_04063	K07100
PXENO_04066	K03798
PXENO_04067	K03744
PXENO_04068	K06872
PXENO_04071	K16074
PXENO_04072	K00424
PXENO_04073	K00426
PXENO_04074	K00425
PXENO_04076	K01992
PXENO_04077	K01992
PXENO_04078	K01990
PXENO_04079	K01990
PXENO_04080	K01993
PXENO_04083	K00355
PXENO_04084	K01975
PXENO_04086	K11991
PXENO_04087	K01297
PXENO_04089	K03457
PXENO_04090	K16841
PXENO_04091	K16842
PXENO_04092	K13485
PXENO_04093	K01477
PXENO_04094	K01483
PXENO_04095	K07154
PXENO_04098	K07127
PXENO_04101	K23537
PXENO_04102	K23535
PXENO_04103	K23536
PXENO_04104	K07335
PXENO_04105	K09165
PXENO_04107	K00128
PXENO_04108	K00459
PXENO_04109	K07275
PXENO_04110	K06938
PXENO_04112	K03322
PXENO_04113	K11073
PXENO_04114	K11076
PXENO_04115	K11075
PXENO_04116	K11074
PXENO_04117	K03406
PXENO_04120	K22105
PXENO_04122	K03969
PXENO_04124	K05366
PXENO_04125	K02517
PXENO_04130	K18303
PXENO_04131	K18302
PXENO_04138	K03281
PXENO_04139	K00799
PXENO_04143	K00874
PXENO_04145	K00090
PXENO_04146	K02525
PXENO_04150	K03761
PXENO_04157	K00424
PXENO_04159	K03284
PXENO_04160	K10439
PXENO_04161	K10441
PXENO_04162	K10440
PXENO_04163	K02529
PXENO_04164	K05874
PXENO_04165	K02554
PXENO_04166	K07180
PXENO_04167	K09786
PXENO_04168	K06415
PXENO_04169	K03761
PXENO_04173	K02051
PXENO_04175	K02049
PXENO_04176	K02050
PXENO_04184	K05874
PXENO_04185	K00384
PXENO_04194	K14205
PXENO_04199	K01754
PXENO_04200	K00481
PXENO_04201	K03496
PXENO_04206	K04102
PXENO_04207	K07795
PXENO_04208	K01759
PXENO_04209	K07794
PXENO_04210	K07793
PXENO_04211	K07240
PXENO_04212	K07240
PXENO_04213	K00799
PXENO_04214	K12979
PXENO_04219	K00135
PXENO_04220	K03704
PXENO_04222	K00720
PXENO_04224	K07645
PXENO_04225	K07666
PXENO_04227	K00720
PXENO_04228	K03478
PXENO_04229	K19338
PXENO_04230	K16874
PXENO_04231	K03186
PXENO_04232	K16877
PXENO_04233	K16878
PXENO_04234	K16879
PXENO_04235	K16876
PXENO_04236	K16880
PXENO_04237	K03762
PXENO_04238	K19338
PXENO_04239	K03607
PXENO_04243	K07156
PXENO_04244	K11891
PXENO_04247	K11892
PXENO_04248	K11893
PXENO_04249	K11906
PXENO_04250	K11903
PXENO_04253	K11900
PXENO_04254	K11901
PXENO_04255	K11907
PXENO_04257	K11902
PXENO_04258	K00059
PXENO_04259	K01426
PXENO_04266	K21757
PXENO_04267	K01856
PXENO_04268	K03381
PXENO_04269	K03464
PXENO_04270	K03863
PXENO_04272	K07090
PXENO_04273	K00059
PXENO_04274	K21703
PXENO_04275	K03430
PXENO_04276	K05306
PXENO_04279	K01485
PXENO_04285	K09857
PXENO_04286	K06192
PXENO_04290	K00797
PXENO_04293	K13444
PXENO_04294	K03924
PXENO_04297	K07114
PXENO_04298	K07114
PXENO_04301	K21696
PXENO_04302	K03519
PXENO_04303	K03518
PXENO_04304	K03520
PXENO_04305	K09386
PXENO_04307	K07161
PXENO_04308	K07402
PXENO_04309	K07141
PXENO_04312	K06132
PXENO_04313	K22303
PXENO_04314	K24116
PXENO_04315	K15555
PXENO_04316	K15554
PXENO_04317	K15554
PXENO_04318	K15553
PXENO_04320	K22879
PXENO_04321	K02050
PXENO_04322	K02049
